time,low95:SS:Japan__all,SS:Japan__all,high95:SS:Japan__all,low95:IS:Japan__all,IS:Japan__all,high95:IS:Japan__all,low95:SI:Japan__all,SI:Japan__all,high95:SI:Japan__all,low95:RS:Japan__all,RS:Japan__all,high95:RS:Japan__all,low95:SR:Japan__all,SR:Japan__all,high95:SR:Japan__all,low95:IR:Japan__all,IR:Japan__all,high95:IR:Japan__all,low95:RI:Japan__all,RI:Japan__all,high95:RI:Japan__all,low95:RR:Japan__all,RR:Japan__all,high95:RR:Japan__all,low95:EV71_JAP__IASR__inc,EV71_JAP__IASR__inc,high95:EV71_JAP__IASR__inc,low95:CA16_JAP__IASR__inc,CA16_JAP__IASR__inc,high95:CA16_JAP__IASR__inc
0,3.70441e+06,3.70441e+06,3.70441e+06,5772.28,5772.28,5772.28,3170.84,3170.84,3170.84,1.08393e+07,1.08393e+07,1.08393e+07,5.05719e+06,5.05719e+06,5.05719e+06,10142.7,10142.7,10142.7,8445.23,8445.23,8445.23,1.0708e+08,1.0708e+08,1.0708e+08,0,0,0,0,0,0
1,3.70646e+06,3.70646e+06,3.70646e+06,5834.77,5834.77,5834.77,3206.92,3206.92,3206.92,1.08398e+07,1.08398e+07,1.08398e+07,5.05742e+06,5.05742e+06,5.05742e+06,10182.3,10182.3,10182.3,8498.63,8498.63,8498.63,1.07077e+08,1.07077e+08,1.07077e+08,19.5828,19.5828,19.5828,3.59662,3.59662,3.59662
2,3.70837e+06,3.70837e+06,3.70837e+06,5875.11,5875.11,5875.11,3233.28,3233.28,3233.28,1.08403e+07,1.08403e+07,1.08403e+07,5.05767e+06,5.05767e+06,5.05767e+06,10246.8,10246.8,10246.8,8563.58,8563.58,8563.58,1.07083e+08,1.07083e+08,1.07083e+08,19.7098,19.7098,19.7098,3.62453,3.62453,3.62453
3,3.71011e+06,3.71011e+06,3.71011e+06,5915.13,5915.13,5915.13,3259.5,3259.5,3259.5,1.08409e+07,1.08409e+07,1.08409e+07,5.05794e+06,5.05794e+06,5.05794e+06,10313.6,10313.6,10313.6,8630,8630,8630,1.07089e+08,1.07089e+08,1.07089e+08,19.8396,19.8396,19.8396,3.65289,3.65289,3.65289
4,3.7117e+06,3.7117e+06,3.7117e+06,5955.95,5955.95,5955.95,3286.09,3286.09,3286.09,1.08414e+07,1.08414e+07,1.08414e+07,5.05823e+06,5.05823e+06,5.05823e+06,10382.1,10382.1,10382.1,8697.64,8697.64,8697.64,1.07095e+08,1.07095e+08,1.07095e+08,19.9722,19.9722,19.9722,3.6817,3.6817,3.6817
5,3.71313e+06,3.71313e+06,3.71313e+06,5997.62,5997.62,5997.62,3313.1,3313.1,3313.1,1.08419e+07,1.08419e+07,1.08419e+07,5.05855e+06,5.05855e+06,5.05855e+06,10452.4,10452.4,10452.4,8766.65,8766.65,8766.65,1.07101e+08,1.07101e+08,1.07101e+08,20.1078,20.1078,20.1078,3.71104,3.71104,3.71104
6,3.71439e+06,3.71439e+06,3.71439e+06,6040.24,6040.24,6040.24,3340.58,3340.58,3340.58,1.08425e+07,1.08425e+07,1.08425e+07,5.05888e+06,5.05888e+06,5.05888e+06,10524.6,10524.6,10524.6,8837.18,8837.18,8837.18,1.07107e+08,1.07107e+08,1.07107e+08,20.2469,20.2469,20.2469,3.74096,3.74096,3.74096
7,3.71548e+06,3.71548e+06,3.71548e+06,6083.91,6083.91,6083.91,3368.59,3368.59,3368.59,1.0843e+07,1.0843e+07,1.0843e+07,5.05923e+06,5.05923e+06,5.05923e+06,10598.9,10598.9,10598.9,8909.42,8909.42,8909.42,1.07114e+08,1.07114e+08,1.07114e+08,20.3896,20.3896,20.3896,3.77153,3.77153,3.77153
8,3.7164e+06,3.7164e+06,3.7164e+06,6128.71,6128.71,6128.71,3397.19,3397.19,3397.19,1.08436e+07,1.08436e+07,1.08436e+07,5.05959e+06,5.05959e+06,5.05959e+06,10675.6,10675.6,10675.6,8983.54,8983.54,8983.54,1.07121e+08,1.07121e+08,1.07121e+08,20.5364,20.5364,20.5364,3.80282,3.80282,3.80282
9,3.71715e+06,3.71715e+06,3.71715e+06,6174.76,6174.76,6174.76,3426.45,3426.45,3426.45,1.08442e+07,1.08442e+07,1.08442e+07,5.05998e+06,5.05998e+06,5.05998e+06,10754.7,10754.7,10754.7,9059.72,9059.72,9059.72,1.07127e+08,1.07127e+08,1.07127e+08,20.6877,20.6877,20.6877,3.83492,3.83492,3.83492
