"V1","V2"
10.2545,10.2545
8.90614,0.0211144
0.0212659,15.3274
30.2118,2.51026
0.0056425,7.89543
7.07764,0.0659562
0.392103,9.90489
1.16009,11.158
0.123371,11.2417
0.427344,10.7293
0.000676808,10.4494
