time,low95:SS:Japan__all,SS:Japan__all,high95:SS:Japan__all,low95:IS:Japan__all,IS:Japan__all,high95:IS:Japan__all,low95:SI:Japan__all,SI:Japan__all,high95:SI:Japan__all,low95:RS:Japan__all,RS:Japan__all,high95:RS:Japan__all,low95:SR:Japan__all,SR:Japan__all,high95:SR:Japan__all,low95:IR:Japan__all,IR:Japan__all,high95:IR:Japan__all,low95:RI:Japan__all,RI:Japan__all,high95:RI:Japan__all,low95:RR:Japan__all,RR:Japan__all,high95:RR:Japan__all,low95:EV71_JAP__IASR__inc,EV71_JAP__IASR__inc,high95:EV71_JAP__IASR__inc,low95:CA16_JAP__IASR__inc,CA16_JAP__IASR__inc,high95:CA16_JAP__IASR__inc
0,3.97157e+06,3.97157e+06,3.97157e+06,3888.45,3888.45,3888.45,3683.86,3683.86,3683.86,1.01946e+07,1.01946e+07,1.01946e+07,9.22791e+06,9.22791e+06,9.22791e+06,3006.33,3006.33,3006.33,3146.27,3146.27,3146.27,1.03301e+08,1.03301e+08,1.03301e+08,0,0,0,0,0,0
1,3.97467e+06,3.97467e+06,3.97467e+06,3954.2,3954.2,3954.2,3746.18,3746.18,3746.18,1.01949e+07,1.01949e+07,1.01949e+07,9.22825e+06,9.22825e+06,9.22825e+06,3055.4,3055.4,3055.4,3197.88,3197.88,3197.88,1.03297e+08,1.03297e+08,1.03297e+08,2.94424,2.94424,2.94424,4.32437,4.32437,4.32437
2,3.97742e+06,3.97742e+06,3.97742e+06,4026.38,4026.38,4026.38,3814.56,3814.56,3814.56,1.01953e+07,1.01953e+07,1.01953e+07,9.22861e+06,9.22861e+06,9.22861e+06,3109.08,3109.08,3109.08,3254.05,3254.05,3254.05,1.03302e+08,1.03302e+08,1.03302e+08,2.99527,2.99527,2.99527,4.39933,4.39933,4.39933
3,3.97978e+06,3.97978e+06,3.97978e+06,4104.12,4104.12,4104.12,3888.04,3888.04,3888.04,1.01957e+07,1.01957e+07,1.01957e+07,9.22901e+06,9.22901e+06,9.22901e+06,3167.23,3167.23,3167.23,3314.78,3314.78,3314.78,1.03307e+08,1.03307e+08,1.03307e+08,3.05071,3.05071,3.05071,4.48059,4.48059,4.48059
4,3.98174e+06,3.98174e+06,3.98174e+06,4187.17,4187.17,4187.17,3966.4,3966.4,3966.4,1.01962e+07,1.01962e+07,1.01962e+07,9.22944e+06,9.22944e+06,9.22944e+06,3229.75,3229.75,3229.75,3379.93,3379.93,3379.93,1.03312e+08,1.03312e+08,1.03312e+08,3.11034,3.11034,3.11034,4.56781,4.56781,4.56781
5,3.98327e+06,3.98327e+06,3.98327e+06,4275.15,4275.15,4275.15,4049.31,4049.31,4049.31,1.01967e+07,1.01967e+07,1.01967e+07,9.22991e+06,9.22991e+06,9.22991e+06,3296.37,3296.37,3296.37,3449.28,3449.28,3449.28,1.03318e+08,1.03318e+08,1.03318e+08,3.17393,3.17393,3.17393,4.66072,4.66072,4.66072
6,3.98434e+06,3.98434e+06,3.98434e+06,4367.63,4367.63,4367.63,4136.37,4136.37,4136.37,1.01973e+07,1.01973e+07,1.01973e+07,9.23041e+06,9.23041e+06,9.23041e+06,3366.8,3366.8,3366.8,3522.52,3522.52,3522.52,1.03325e+08,1.03325e+08,1.03325e+08,3.2412,3.2412,3.2412,4.7589,4.7589,4.7589
7,3.98494e+06,3.98494e+06,3.98494e+06,4464.06,4464.06,4464.06,4227.11,4227.11,4227.11,1.01979e+07,1.01979e+07,1.01979e+07,9.23096e+06,9.23096e+06,9.23096e+06,3440.65,3440.65,3440.65,3599.28,3599.28,3599.28,1.03331e+08,1.03331e+08,1.03331e+08,3.3118,3.3118,3.3118,4.86187,4.86187,4.86187
8,3.98505e+06,3.98505e+06,3.98505e+06,4563.82,4563.82,4563.82,4320.93,4320.93,4320.93,1.01985e+07,1.01985e+07,1.01985e+07,9.23154e+06,9.23154e+06,9.23154e+06,3517.49,3517.49,3517.49,3679.11,3679.11,3679.11,1.03338e+08,1.03338e+08,1.03338e+08,3.38531,3.38531,3.38531,4.96905,4.96905,4.96905
9,3.98465e+06,3.98465e+06,3.98465e+06,4666.14,4666.14,4666.14,4417.17,4417.17,4417.17,1.01992e+07,1.01992e+07,1.01992e+07,9.23217e+06,9.23217e+06,9.23217e+06,3596.76,3596.76,3596.76,3761.49,3761.49,3761.49,1.03346e+08,1.03346e+08,1.03346e+08,3.46121,3.46121,3.46121,5.07973,5.07973,5.07973
