time,low95:SS:Japan__all,SS:Japan__all,high95:SS:Japan__all,low95:IS:Japan__all,IS:Japan__all,high95:IS:Japan__all,low95:SI:Japan__all,SI:Japan__all,high95:SI:Japan__all,low95:RS:Japan__all,RS:Japan__all,high95:RS:Japan__all,low95:SR:Japan__all,SR:Japan__all,high95:SR:Japan__all,low95:IR:Japan__all,IR:Japan__all,high95:IR:Japan__all,low95:RI:Japan__all,RI:Japan__all,high95:RI:Japan__all,low95:SQ:Japan__all,SQ:Japan__all,high95:SQ:Japan__all,low95:QS:Japan__all,QS:Japan__all,high95:QS:Japan__all,low95:QR:Japan__all,QR:Japan__all,high95:QR:Japan__all,low95:RQ:Japan__all,RQ:Japan__all,high95:RQ:Japan__all,low95:RR:Japan__all,RR:Japan__all,high95:RR:Japan__all,low95:EV71_JAP__IASR__inc,EV71_JAP__IASR__inc,high95:EV71_JAP__IASR__inc,low95:CA16_JAP__IASR__inc,CA16_JAP__IASR__inc,high95:CA16_JAP__IASR__inc
10,3.02931e+06,3.02931e+06,3.02931e+06,3638.59,3638.59,3638.59,3461.03,3461.03,3461.03,3.93305e+06,3.93305e+06,3.93305e+06,3.59756e+06,3.59756e+06,3.59756e+06,5612.55,5612.55,5612.55,5627.66,5627.66,5627.66,407993,407993,407993,449095,449095,449095,5.19727e+06,5.19727e+06,5.19727e+06,4.97659e+06,4.97659e+06,4.97659e+06,1.05178e+08,1.05178e+08,1.05178e+08,10.0951,10.0951,10.0951,7.76714,7.76714,7.76714
11,3.02974e+06,3.02974e+06,3.02974e+06,3664.06,3664.06,3664.06,3484.1,3484.1,3484.1,3.93143e+06,3.93143e+06,3.93143e+06,3.59609e+06,3.59609e+06,3.59609e+06,5649.02,5649.02,5649.02,5662.3,5662.3,5662.3,409770,409770,409770,451067,451067,451067,5.21822e+06,5.21822e+06,5.21822e+06,4.99643e+06,4.99643e+06,4.99643e+06,1.05144e+08,1.05144e+08,1.05144e+08,10.1678,10.1678,10.1678,7.82046,7.82046,7.82046
12,3.03003e+06,3.03003e+06,3.03003e+06,3686.03,3686.03,3686.03,3503.76,3503.76,3503.76,3.92978e+06,3.92978e+06,3.92978e+06,3.5946e+06,3.5946e+06,3.5946e+06,5680.25,5680.25,5680.25,5691.58,5691.58,5691.58,411585,411585,411585,453090,453090,453090,5.23976e+06,5.23976e+06,5.23976e+06,5.01675e+06,5.01675e+06,5.01675e+06,1.0511e+08,1.0511e+08,1.0511e+08,10.2309,10.2309,10.2309,7.86618,7.86618,7.86618
13,3.03021e+06,3.03021e+06,3.03021e+06,3704.57,3704.57,3704.57,3520.1,3520.1,3520.1,3.92812e+06,3.92812e+06,3.92812e+06,3.5931e+06,3.5931e+06,3.5931e+06,5706.38,5706.38,5706.38,5715.64,5715.64,5715.64,413416,413416,413416,455136,455136,455136,5.2616e+06,5.2616e+06,5.2616e+06,5.03726e+06,5.03726e+06,5.03726e+06,1.05075e+08,1.05075e+08,1.05075e+08,10.2844,10.2844,10.2844,7.90447,7.90447,7.90447
14,3.03029e+06,3.03029e+06,3.03029e+06,3719.81,3719.81,3719.81,3533.28,3533.28,3533.28,3.92648e+06,3.92648e+06,3.92648e+06,3.59161e+06,3.59161e+06,3.59161e+06,5727.58,5727.58,5727.58,5734.73,5734.73,5734.73,415240,415240,415240,457183,457183,457183,5.28345e+06,5.28345e+06,5.28345e+06,5.05771e+06,5.05771e+06,5.05771e+06,1.05041e+08,1.05041e+08,1.05041e+08,10.3288,10.3288,10.3288,7.9356,7.9356,7.9356
15,3.0303e+06,3.0303e+06,3.0303e+06,3731.92,3731.92,3731.92,3543.46,3543.46,3543.46,3.92487e+06,3.92487e+06,3.92487e+06,3.59015e+06,3.59015e+06,3.59015e+06,5744.13,5744.13,5744.13,5749.13,5749.13,5749.13,417037,417037,417037,459208,459208,459208,5.30509e+06,5.30509e+06,5.30509e+06,5.07786e+06,5.07786e+06,5.07786e+06,1.05007e+08,1.05007e+08,1.05007e+08,10.3645,10.3645,10.3645,7.95994,7.95994,7.95994
16,3.03024e+06,3.03024e+06,3.03024e+06,3741.09,3741.09,3741.09,3550.85,3550.85,3550.85,3.92332e+06,3.92332e+06,3.92332e+06,3.58874e+06,3.58874e+06,3.58874e+06,5756.33,5756.33,5756.33,5759.17,5759.17,5759.17,418792,418792,418792,461193,461193,461193,5.32629e+06,5.32629e+06,5.32629e+06,5.09752e+06,5.09752e+06,5.09752e+06,1.04974e+08,1.04974e+08,1.04974e+08,10.3918,10.3918,10.3918,7.97792,7.97792,7.97792
17,3.03015e+06,3.03015e+06,3.03015e+06,3747.56,3747.56,3747.56,3555.69,3555.69,3555.69,3.92184e+06,3.92184e+06,3.92184e+06,3.5874e+06,3.5874e+06,3.5874e+06,5764.51,5764.51,5764.51,5765.22,5765.22,5765.22,420488,420488,420488,463120,463120,463120,5.34686e+06,5.34686e+06,5.34686e+06,5.1165e+06,5.1165e+06,5.1165e+06,1.04942e+08,1.04942e+08,1.04942e+08,10.4115,10.4115,10.4115,7.99002,7.99002,7.99002
18,3.03002e+06,3.03002e+06,3.03002e+06,3751.55,3751.55,3751.55,3558.21,3558.21,3558.21,3.92044e+06,3.92044e+06,3.92044e+06,3.58613e+06,3.58613e+06,3.58613e+06,5769.04,5769.04,5769.04,5767.67,5767.67,5767.67,422114,422114,422114,464975,464975,464975,5.36664e+06,5.36664e+06,5.36664e+06,5.13467e+06,5.13467e+06,5.13467e+06,1.04913e+08,1.04913e+08,1.04913e+08,10.4241,10.4241,10.4241,7.99678,7.99678,7.99678
19,3.02989e+06,3.02989e+06,3.02989e+06,3753.31,3753.31,3753.31,3558.66,3558.66,3558.66,3.91914e+06,3.91914e+06,3.91914e+06,3.58494e+06,3.58494e+06,3.58494e+06,5770.27,5770.27,5770.27,5766.91,5766.91,5766.91,423659,423659,423659,466747,466747,466747,5.3855e+06,5.3855e+06,5.3855e+06,5.15189e+06,5.15189e+06,5.15189e+06,1.04884e+08,1.04884e+08,1.04884e+08,10.4303,10.4303,10.4303,7.99873,7.99873,7.99873
