time,low95:SS:Japan__all,SS:Japan__all,high95:SS:Japan__all,low95:IS:Japan__all,IS:Japan__all,high95:IS:Japan__all,low95:SI:Japan__all,SI:Japan__all,high95:SI:Japan__all,low95:RS:Japan__all,RS:Japan__all,high95:RS:Japan__all,low95:SR:Japan__all,SR:Japan__all,high95:SR:Japan__all,low95:IR:Japan__all,IR:Japan__all,high95:IR:Japan__all,low95:RI:Japan__all,RI:Japan__all,high95:RI:Japan__all,low95:SQ:Japan__all,SQ:Japan__all,high95:SQ:Japan__all,low95:QS:Japan__all,QS:Japan__all,high95:QS:Japan__all,low95:QR:Japan__all,QR:Japan__all,high95:QR:Japan__all,low95:RQ:Japan__all,RQ:Japan__all,high95:RQ:Japan__all,low95:RR:Japan__all,RR:Japan__all,high95:RR:Japan__all,low95:EV71_JAP__IASR__inc,EV71_JAP__IASR__inc,high95:EV71_JAP__IASR__inc,low95:CA16_JAP__IASR__inc,CA16_JAP__IASR__inc,high95:CA16_JAP__IASR__inc
10,7.00627e+06,7.00627e+06,7.00627e+06,15.0412,15.0412,15.0412,1455.07,1455.07,1455.07,1.6503e+07,1.6503e+07,1.6503e+07,1.60334e+07,1.60334e+07,1.60334e+07,9.86117,9.86117,9.86117,982.222,982.222,982.222,544757,544757,544757,104959,104959,104959,66330.8,66330.8,66330.8,386655,386655,386655,8.61389e+07,8.61389e+07,8.61389e+07,0.0166355,0.0166355,0.0166355,3.28051,3.28051,3.28051
11,7.0244e+06,7.0244e+06,7.0244e+06,15.8117,15.8117,15.8117,1484.98,1484.98,1484.98,1.65006e+07,1.65006e+07,1.65006e+07,1.60441e+07,1.60441e+07,1.60441e+07,10.3465,10.3465,10.3465,999.677,999.677,999.677,535386,535386,535386,102475,102475,102475,64761.7,64761.7,64761.7,379871,379871,379871,8.61414e+07,8.61414e+07,8.61414e+07,0.0174517,0.0174517,0.0174517,3.33801,3.33801,3.33801
12,7.04242e+06,7.04242e+06,7.04242e+06,16.6653,16.6653,16.6653,1521.22,1521.22,1521.22,1.6498e+07,1.6498e+07,1.6498e+07,1.60546e+07,1.60546e+07,1.60546e+07,10.8842,10.8842,10.8842,1021.28,1021.28,1021.28,526324,526324,526324,100052,100052,100052,63231.5,63231.5,63231.5,373299,373299,373299,8.61437e+07,8.61437e+07,8.61437e+07,0.0183561,0.0183561,0.0183561,3.40931,3.40931,3.40931
13,7.06033e+06,7.06033e+06,7.06033e+06,17.6107,17.6107,17.6107,1564.19,1564.19,1564.19,1.64953e+07,1.64953e+07,1.64953e+07,1.60649e+07,1.60649e+07,1.60649e+07,11.4797,11.4797,11.4797,1047.29,1047.29,1047.29,517580,517580,517580,97690.3,97690.3,97690.3,61739.6,61739.6,61739.6,366945,366945,366945,8.61458e+07,8.61458e+07,8.61458e+07,0.0193578,0.0193578,0.0193578,3.49527,3.49527,3.49527
14,7.0781e+06,7.0781e+06,7.0781e+06,18.6581,18.6581,18.6581,1614.42,1614.42,1614.42,1.64925e+07,1.64925e+07,1.64925e+07,1.60749e+07,1.60749e+07,1.60749e+07,12.1395,12.1395,12.1395,1078.02,1078.02,1078.02,509164,509164,509164,95387.6,95387.6,95387.6,60285.2,60285.2,60285.2,360816,360816,360816,8.61477e+07,8.61477e+07,8.61477e+07,0.0204674,0.0204674,0.0204674,3.59689,3.59689,3.59689
15,7.09571e+06,7.09571e+06,7.09571e+06,19.8191,19.8191,19.8191,1672.49,1672.49,1672.49,1.64896e+07,1.64896e+07,1.64896e+07,1.60848e+07,1.60848e+07,1.60848e+07,12.8707,12.8707,12.8707,1113.81,1113.81,1113.81,501088,501088,501088,93143,93143,93143,58867.5,58867.5,58867.5,354919,354919,354919,8.61494e+07,8.61494e+07,8.61494e+07,0.021697,0.021697,0.021697,3.71538,3.71538,3.71538
16,7.11315e+06,7.11315e+06,7.11315e+06,21.1071,21.1071,21.1071,1739.09,1739.09,1739.09,1.64864e+07,1.64864e+07,1.64864e+07,1.60944e+07,1.60944e+07,1.60944e+07,13.6816,13.6816,13.6816,1155.09,1155.09,1155.09,493364,493364,493364,90955.4,90955.4,90955.4,57485.8,57485.8,57485.8,349261,349261,349261,8.6151e+07,8.6151e+07,8.6151e+07,0.0230603,0.0230603,0.0230603,3.85211,3.85211,3.85211
17,7.13038e+06,7.13038e+06,7.13038e+06,22.5371,22.5371,22.5371,1815.01,1815.01,1815.01,1.64831e+07,1.64831e+07,1.64831e+07,1.61039e+07,1.61039e+07,1.61039e+07,14.5817,14.5817,14.5817,1202.35,1202.35,1202.35,486006,486006,486006,88823.9,88823.9,88823.9,56139.5,56139.5,56139.5,343852,343852,343852,8.61524e+07,8.61524e+07,8.61524e+07,0.0245732,0.0245732,0.0245732,4.00871,4.00871,4.00871
18,7.14739e+06,7.14739e+06,7.14739e+06,24.1265,24.1265,24.1265,1901.13,1901.13,1901.13,1.64797e+07,1.64797e+07,1.64797e+07,1.61132e+07,1.61132e+07,1.61132e+07,15.5817,15.5817,15.5817,1256.13,1256.13,1256.13,479031,479031,479031,86747.4,86747.4,86747.4,54827.9,54827.9,54827.9,338700,338700,338700,8.61536e+07,8.61536e+07,8.61536e+07,0.0262537,0.0262537,0.0262537,4.18701,4.18701,4.18701
19,7.16414e+06,7.16414e+06,7.16414e+06,25.8949,25.8949,25.8949,1998.49,1998.49,1998.49,1.6476e+07,1.6476e+07,1.6476e+07,1.61223e+07,1.61223e+07,1.61223e+07,16.6939,16.6939,16.6939,1317.05,1317.05,1317.05,472455,472455,472455,84725.2,84725.2,84725.2,53550.6,53550.6,53550.6,333818,333818,333818,8.61547e+07,8.61547e+07,8.61547e+07,0.0281221,0.0281221,0.0281221,4.38911,4.38911,4.38911
20,7.18061e+06,7.18061e+06,7.18061e+06,27.8648,27.8648,27.8648,2108.23,2108.23,2108.23,1.64721e+07,1.64721e+07,1.64721e+07,1.61313e+07,1.61313e+07,1.61313e+07,17.9324,17.9324,17.9324,1385.85,1385.85,1385.85,466300,466300,466300,82756.3,82756.3,82756.3,52307,52307,52307,329217,329217,329217,8.61557e+07,8.61557e+07,8.61557e+07,0.0302019,0.0302019,0.0302019,4.61739,4.61739,4.61739
21,7.19674e+06,7.19674e+06,7.19674e+06,30.0615,30.0615,30.0615,2231.66,2231.66,2231.66,1.64679e+07,1.64679e+07,1.64679e+07,1.61401e+07,1.61401e+07,1.61401e+07,19.313,19.313,19.313,1463.3,1463.3,1463.3,460589,460589,460589,80840,80840,80840,51096.6,51096.6,51096.6,324912,324912,324912,8.61565e+07,8.61565e+07,8.61565e+07,0.0325196,0.0325196,0.0325196,4.87455,4.87455,4.87455
22,7.21252e+06,7.21252e+06,7.21252e+06,32.5141,32.5141,32.5141,2370.23,2370.23,2370.23,1.64635e+07,1.64635e+07,1.64635e+07,1.61488e+07,1.61488e+07,1.61488e+07,20.8537,20.8537,20.8537,1550.32,1550.32,1550.32,455346,455346,455346,78975.6,78975.6,78975.6,49919,49919,49919,320919,320919,320919,8.61572e+07,8.61572e+07,8.61572e+07,0.0351053,0.0351053,0.0351053,5.1636,5.1636,5.1636
23,7.22789e+06,7.22789e+06,7.22789e+06,35.2552,35.2552,35.2552,2525.57,2525.57,2525.57,1.64588e+07,1.64588e+07,1.64588e+07,1.61573e+07,1.61573e+07,1.61573e+07,22.5752,22.5752,22.5752,1647.92,1647.92,1647.92,450602,450602,450602,77162.7,77162.7,77162.7,48773.8,48773.8,48773.8,317256,317256,317256,8.61578e+07,8.61578e+07,8.61578e+07,0.0379934,0.0379934,0.0379934,5.48792,5.48792,5.48792
24,7.2428e+06,7.2428e+06,7.2428e+06,38.3219,38.3219,38.3219,2699.49,2699.49,2699.49,1.64538e+07,1.64538e+07,1.64538e+07,1.61658e+07,1.61658e+07,1.61658e+07,24.5007,24.5007,24.5007,1757.2,1757.2,1757.2,446390,446390,446390,75400.7,75400.7,75400.7,47660.8,47660.8,47660.8,313944,313944,313944,8.61583e+07,8.61583e+07,8.61583e+07,0.0412226,0.0412226,0.0412226,5.8513,5.8513,5.8513
25,7.25721e+06,7.25721e+06,7.25721e+06,41.7563,41.7563,41.7563,2893.97,2893.97,2893.97,1.64484e+07,1.64484e+07,1.64484e+07,1.61741e+07,1.61741e+07,1.61741e+07,26.6564,26.6564,26.6564,1879.4,1879.4,1879.4,442745,442745,442745,73689.3,73689.3,73689.3,46579.7,46579.7,46579.7,311003,311003,311003,8.61587e+07,8.61587e+07,8.61587e+07,0.0448369,0.0448369,0.0448369,6.25788,6.25788,6.25788
26,7.27105e+06,7.27105e+06,7.27105e+06,45.6055,45.6055,45.6055,3111.2,3111.2,3111.2,1.64427e+07,1.64427e+07,1.64427e+07,1.61823e+07,1.61823e+07,1.61823e+07,29.0722,29.0722,29.0722,2015.87,2015.87,2015.87,439709,439709,439709,72028.3,72028.3,72028.3,45530.4,45530.4,45530.4,308462,308462,308462,8.6159e+07,8.6159e+07,8.6159e+07,0.0488858,0.0488858,0.0488858,6.71227,6.71227,6.71227
27,7.28426e+06,7.28426e+06,7.28426e+06,49.9224,49.9224,49.9224,3353.55,3353.55,3353.55,1.64365e+07,1.64365e+07,1.64365e+07,1.61905e+07,1.61905e+07,1.61905e+07,31.7813,31.7813,31.7813,2168.09,2168.09,2168.09,437329,437329,437329,70417.6,70417.6,70417.6,44512.8,44512.8,44512.8,306347,306347,306347,8.61592e+07,8.61592e+07,8.61592e+07,0.0534252,0.0534252,0.0534252,7.21946,7.21946,7.21946
28,7.29677e+06,7.29677e+06,7.29677e+06,54.7662,54.7662,54.7662,3623.58,3623.58,3623.58,1.64298e+07,1.64298e+07,1.64298e+07,1.61986e+07,1.61986e+07,1.61986e+07,34.8214,34.8214,34.8214,2337.64,2337.64,2337.64,435655,435655,435655,68857.1,68857.1,68857.1,43527,43527,43527,304691,304691,304691,8.61594e+07,8.61594e+07,8.61594e+07,0.0585175,0.0585175,0.0585175,7.78488,7.78488,7.78488
29,7.3085e+06,7.3085e+06,7.3085e+06,60.2026,60.2026,60.2026,3924,3924,3924,1.64227e+07,1.64227e+07,1.64227e+07,1.62067e+07,1.62067e+07,1.62067e+07,38.234,38.234,38.234,2526.2,2526.2,2526.2,434744,434744,434744,67347.3,67347.3,67347.3,42573,42573,42573,303528,303528,303528,8.61595e+07,8.61595e+07,8.61595e+07,0.0642325,0.0642325,0.0642325,8.41433,8.41433,8.41433
30,7.31936e+06,7.31936e+06,7.31936e+06,66.3045,66.3045,66.3045,4257.66,4257.66,4257.66,1.64149e+07,1.64149e+07,1.64149e+07,1.62148e+07,1.62148e+07,1.62148e+07,42.0658,42.0658,42.0658,2735.56,2735.56,2735.56,434658,434658,434658,65888.3,65888.3,65888.3,41651.1,41651.1,41651.1,302898,302898,302898,8.61595e+07,8.61595e+07,8.61595e+07,0.0706477,0.0706477,0.0706477,9.11393,9.11393,9.11393
31,7.32926e+06,7.32926e+06,7.32926e+06,73.1514,73.1514,73.1514,4627.47,4627.47,4627.47,1.64066e+07,1.64066e+07,1.64066e+07,1.62228e+07,1.62228e+07,1.62228e+07,46.3676,46.3676,46.3676,2967.52,2967.52,2967.52,435466,435466,435466,64480.8,64480.8,64480.8,40761.8,40761.8,40761.8,302841,302841,302841,8.61595e+07,8.61595e+07,8.61595e+07,0.0778486,0.0778486,0.0778486,9.89003,9.89003,9.89003
32,7.3381e+06,7.3381e+06,7.3381e+06,80.8299,80.8299,80.8299,5036.35,5036.35,5036.35,1.63975e+07,1.63975e+07,1.63975e+07,1.62309e+07,1.62309e+07,1.62309e+07,51.1955,51.1955,51.1955,3223.94,3223.94,3223.94,437241,437241,437241,63125.6,63125.6,63125.6,39905.3,39905.3,39905.3,303405,303405,303405,8.61595e+07,8.61595e+07,8.61595e+07,0.0859286,0.0859286,0.0859286,10.7491,10.7491,10.7491
33,7.34576e+06,7.34576e+06,7.34576e+06,89.4328,89.4328,89.4328,5487.12,5487.12,5487.12,1.63878e+07,1.63878e+07,1.63878e+07,1.6239e+07,1.6239e+07,1.6239e+07,56.61,56.61,56.61,3506.58,3506.58,3506.58,440063,440063,440063,61823.5,61823.5,61823.5,39082.4,39082.4,39082.4,304639,304639,304639,8.61595e+07,8.61595e+07,8.61595e+07,0.0949887,0.0949887,0.0949887,11.6975,11.6975,11.6975
