index,time,SS:Japan__all,IS:Japan__all,SI:Japan__all,RS:Japan__all,SR:Japan__all,IR:Japan__all,RI:Japan__all,SQ:Japan__all,QS:Japan__all,QR:Japan__all,RQ:Japan__all,obs_mean:EV71_JAP__IASR__inc,obs_mean:VAC_JAP__IASR__inc,obs_mean:CA16_JAP__IASR__inc,obs_real:EV71_JAP__IASR__inc,obs_real:VAC_JAP__IASR__inc,obs_real:CA16_JAP__IASR__inc
0,782,1.85987e+06,2129.1,6940.93,4.13279e+06,6.79511e+06,5883.76,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,2.51311,1.9395,12.5958
0,783,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,2.47066,0.627423,5.94207
0,784,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,2.57652,4.17127,4.57681
0,785,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,2.61414,1.9332,4.72557
0,786,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,1.9364,1.34853,4.14754
0,787,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,1.21184,1.36903,8.25636
0,788,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,3.34742,0,6.4303
0,789,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,2.33064,2.32279,2.14855
0,790,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,2.72442,0.0941243,7.91214
0,791,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,2.19411,4.23645,5.0048
0,792,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,0.781731,1.76279,2.91636
0,793,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,1.75156,0,5.81452
0,794,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,0.661326,2.48071,3.8717
0,795,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,2.03312,3.1231,3.9572
0,796,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,1.16286,1.0875,1.7739
0,797,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,2.08129,4.00836,1.52262
0,798,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,0.621783,0,3.8498
0,799,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,1.00545,0.966188,2.50499
0,800,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,1.54298,1.24031,6.30362
0,801,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,2.90305,0.480451,6.10226
0,802,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,1.67761,1.81169,4.50573
0,803,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,1.20045,2.74539,5.81109
0,804,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,0.452529,0.180832,4.63112
0,805,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,1.21372,3.96747,6.02944
0,806,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,1.99448,3.05412,5.72232
0,807,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,1.67859,0,4.99473
0,808,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,3.41371,0.829046,6.08643
0,809,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,2.2309,0.785189,3.95323
0,810,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,3.84388,0,4.2969
0,811,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,2.49358,1.54478,7.26691
0,812,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,2.77441,2.98118,4.24611
0,813,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,0.305247,4.52531,2.00732
0,814,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,0.168834,0,5.27235
0,815,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,2.4119,1.78243,6.81239
0,816,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,0.227189,1.03078,5.05473
0,817,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,3.66975,3.34447,4.55003
0,818,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,1.58796,3.35557,3.10434
0,819,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,0.70284,2.54604,4.81288
0,820,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,0.508813,1.70836,5.64625
0,821,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,2.7305,0,6.46873
0,822,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,0.00161072,2.09372,3.05234
0,823,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,0.100232,2.23391,3.55234
0,824,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,4.67115,1.93416,3.7263
0,825,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,0.978021,1.59066,8.13992
0,826,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,1.33823,1.76626,3.96802
0,827,1.85987e+06,2129.09,6940.92,4.13279e+06,6.79511e+06,5883.77,11827.3,937788,199662,2.69318e+06,8.54488e+06,1.53291,1.88904,4.56341,2.7872,2.35081,2.69605
