time,low95:SS:Japan__all,SS:Japan__all,high95:SS:Japan__all,low95:IS:Japan__all,IS:Japan__all,high95:IS:Japan__all,low95:SI:Japan__all,SI:Japan__all,high95:SI:Japan__all,low95:RS:Japan__all,RS:Japan__all,high95:RS:Japan__all,low95:SR:Japan__all,SR:Japan__all,high95:SR:Japan__all,low95:IR:Japan__all,IR:Japan__all,high95:IR:Japan__all,low95:RI:Japan__all,RI:Japan__all,high95:RI:Japan__all,low95:SQ:Japan__all,SQ:Japan__all,high95:SQ:Japan__all,low95:QS:Japan__all,QS:Japan__all,high95:QS:Japan__all,low95:QR:Japan__all,QR:Japan__all,high95:QR:Japan__all,low95:RQ:Japan__all,RQ:Japan__all,high95:RQ:Japan__all,low95:EV71_JAP__IASR__inc,EV71_JAP__IASR__inc,high95:EV71_JAP__IASR__inc,low95:VAC_JAP__IASR__inc,VAC_JAP__IASR__inc,high95:VAC_JAP__IASR__inc,low95:CA16_JAP__IASR__inc,CA16_JAP__IASR__inc,high95:CA16_JAP__IASR__inc
782,1.77914e+06,1.77914e+06,1.77914e+06,1904.24,1904.24,1904.24,6641.98,6641.98,6641.98,4.24155e+06,4.24155e+06,4.24155e+06,6.87516e+06,6.87516e+06,6.87516e+06,5562.02,5562.02,5562.02,12124.7,12124.7,12124.7,937640,937640,937640,187479,187479,187479,2.52039e+06,2.52039e+06,2.52039e+06,8.55807e+06,8.55807e+06,8.55807e+06,1.42834,1.42834,1.42834,1.99175,1.99175,1.99175,4.56303,4.56303,4.56303
783,1.77914e+06,1.77914e+06,1.77914e+06,1904.1,1904.1,1904.1,6641.67,6641.67,6641.67,4.24155e+06,4.24155e+06,4.24155e+06,6.87516e+06,6.87516e+06,6.87516e+06,5562.16,5562.16,5562.16,12125,12125,12125,937640,937640,937640,187479,187479,187479,2.52039e+06,2.52039e+06,2.52039e+06,8.55807e+06,8.55807e+06,8.55807e+06,1.42834,1.42834,1.42834,1.99175,1.99175,1.99175,4.56303,4.56303,4.56303
784,1.77914e+06,1.77914e+06,1.77914e+06,1904.05,1904.05,1904.05,6641.56,6641.56,6641.56,4.24155e+06,4.24155e+06,4.24155e+06,6.87516e+06,6.87516e+06,6.87516e+06,5562.21,5562.21,5562.21,12125.1,12125.1,12125.1,937640,937640,937640,187479,187479,187479,2.52039e+06,2.52039e+06,2.52039e+06,8.55807e+06,8.55807e+06,8.55807e+06,1.42834,1.42834,1.42834,1.99175,1.99175,1.99175,4.56303,4.56303,4.56303
785,1.77914e+06,1.77914e+06,1.77914e+06,1904.03,1904.03,1904.03,6641.52,6641.52,6641.52,4.24155e+06,4.24155e+06,4.24155e+06,6.87516e+06,6.87516e+06,6.87516e+06,5562.23,5562.23,5562.23,12125.1,12125.1,12125.1,937640,937640,937640,187479,187479,187479,2.52039e+06,2.52039e+06,2.52039e+06,8.55807e+06,8.55807e+06,8.55807e+06,1.42834,1.42834,1.42834,1.99175,1.99175,1.99175,4.56303,4.56303,4.56303
786,1.77914e+06,1.77914e+06,1.77914e+06,1904.03,1904.03,1904.03,6641.51,6641.51,6641.51,4.24155e+06,4.24155e+06,4.24155e+06,6.87516e+06,6.87516e+06,6.87516e+06,5562.24,5562.24,5562.24,12125.1,12125.1,12125.1,937640,937640,937640,187479,187479,187479,2.52039e+06,2.52039e+06,2.52039e+06,8.55807e+06,8.55807e+06,8.55807e+06,1.42834,1.42834,1.42834,1.99175,1.99175,1.99175,4.56303,4.56303,4.56303
787,1.77914e+06,1.77914e+06,1.77914e+06,1904.02,1904.02,1904.02,6641.51,6641.51,6641.51,4.24155e+06,4.24155e+06,4.24155e+06,6.87516e+06,6.87516e+06,6.87516e+06,5562.24,5562.24,5562.24,12125.1,12125.1,12125.1,937640,937640,937640,187479,187479,187479,2.52039e+06,2.52039e+06,2.52039e+06,8.55807e+06,8.55807e+06,8.55807e+06,1.42834,1.42834,1.42834,1.99175,1.99175,1.99175,4.56303,4.56303,4.56303
788,1.77914e+06,1.77914e+06,1.77914e+06,1904.02,1904.02,1904.02,6641.51,6641.51,6641.51,4.24155e+06,4.24155e+06,4.24155e+06,6.87516e+06,6.87516e+06,6.87516e+06,5562.24,5562.24,5562.24,12125.1,12125.1,12125.1,937640,937640,937640,187479,187479,187479,2.52039e+06,2.52039e+06,2.52039e+06,8.55807e+06,8.55807e+06,8.55807e+06,1.42834,1.42834,1.42834,1.99175,1.99175,1.99175,4.56303,4.56303,4.56303
789,1.77914e+06,1.77914e+06,1.77914e+06,1904.02,1904.02,1904.02,6641.51,6641.51,6641.51,4.24155e+06,4.24155e+06,4.24155e+06,6.87516e+06,6.87516e+06,6.87516e+06,5562.24,5562.24,5562.24,12125.1,12125.1,12125.1,937640,937640,937640,187479,187479,187479,2.52039e+06,2.52039e+06,2.52039e+06,8.55807e+06,8.55807e+06,8.55807e+06,1.42834,1.42834,1.42834,1.99175,1.99175,1.99175,4.56303,4.56303,4.56303
790,1.77914e+06,1.77914e+06,1.77914e+06,1904.02,1904.02,1904.02,6641.51,6641.51,6641.51,4.24155e+06,4.24155e+06,4.24155e+06,6.87516e+06,6.87516e+06,6.87516e+06,5562.24,5562.24,5562.24,12125.1,12125.1,12125.1,937640,937640,937640,187479,187479,187479,2.52039e+06,2.52039e+06,2.52039e+06,8.55807e+06,8.55807e+06,8.55807e+06,1.42834,1.42834,1.42834,1.99175,1.99175,1.99175,4.56303,4.56303,4.56303
791,1.77914e+06,1.77914e+06,1.77914e+06,1904.02,1904.02,1904.02,6641.51,6641.51,6641.51,4.24155e+06,4.24155e+06,4.24155e+06,6.87516e+06,6.87516e+06,6.87516e+06,5562.24,5562.24,5562.24,12125.1,12125.1,12125.1,937640,937640,937640,187479,187479,187479,2.52039e+06,2.52039e+06,2.52039e+06,8.55807e+06,8.55807e+06,8.55807e+06,1.42834,1.42834,1.42834,1.99175,1.99175,1.99175,4.56303,4.56303,4.56303
792,1.77914e+06,1.77914e+06,1.77914e+06,1904.02,1904.02,1904.02,6641.51,6641.51,6641.51,4.24155e+06,4.24155e+06,4.24155e+06,6.87516e+06,6.87516e+06,6.87516e+06,5562.24,5562.24,5562.24,12125.1,12125.1,12125.1,937640,937640,937640,187479,187479,187479,2.52039e+06,2.52039e+06,2.52039e+06,8.55807e+06,8.55807e+06,8.55807e+06,1.42834,1.42834,1.42834,1.99175,1.99175,1.99175,4.56303,4.56303,4.56303
793,1.77914e+06,1.77914e+06,1.77914e+06,1904.02,1904.02,1904.02,6641.51,6641.51,6641.51,4.24155e+06,4.24155e+06,4.24155e+06,6.87516e+06,6.87516e+06,6.87516e+06,5562.24,5562.24,5562.24,12125.1,12125.1,12125.1,937640,937640,937640,187479,187479,187479,2.52039e+06,2.52039e+06,2.52039e+06,8.55807e+06,8.55807e+06,8.55807e+06,1.42834,1.42834,1.42834,1.99175,1.99175,1.99175,4.56303,4.56303,4.56303
794,1.77914e+06,1.77914e+06,1.77914e+06,1904.02,1904.02,1904.02,6641.51,6641.51,6641.51,4.24155e+06,4.24155e+06,4.24155e+06,6.87516e+06,6.87516e+06,6.87516e+06,5562.24,5562.24,5562.24,12125.1,12125.1,12125.1,937640,937640,937640,187479,187479,187479,2.52039e+06,2.52039e+06,2.52039e+06,8.55807e+06,8.55807e+06,8.55807e+06,1.42834,1.42834,1.42834,1.99175,1.99175,1.99175,4.56303,4.56303,4.56303
