time,low95:SS:Japan__all,SS:Japan__all,high95:SS:Japan__all,low95:IS:Japan__all,IS:Japan__all,high95:IS:Japan__all,low95:SI:Japan__all,SI:Japan__all,high95:SI:Japan__all,low95:RS:Japan__all,RS:Japan__all,high95:RS:Japan__all,low95:SR:Japan__all,SR:Japan__all,high95:SR:Japan__all,low95:IR:Japan__all,IR:Japan__all,high95:IR:Japan__all,low95:RI:Japan__all,RI:Japan__all,high95:RI:Japan__all,low95:SQ:Japan__all,SQ:Japan__all,high95:SQ:Japan__all,low95:QS:Japan__all,QS:Japan__all,high95:QS:Japan__all,low95:QR:Japan__all,QR:Japan__all,high95:QR:Japan__all,low95:RQ:Japan__all,RQ:Japan__all,high95:RQ:Japan__all,low95:EV71_JAP__IASR__inc,EV71_JAP__IASR__inc,high95:EV71_JAP__IASR__inc,low95:VAC_JAP__IASR__inc,VAC_JAP__IASR__inc,high95:VAC_JAP__IASR__inc,low95:CA16_JAP__IASR__inc,CA16_JAP__IASR__inc,high95:CA16_JAP__IASR__inc
782,2.03821e+06,2.03821e+06,2.03821e+06,2686.39,2686.39,2686.39,7602.33,7602.33,7602.33,3.89253e+06,3.89253e+06,3.89253e+06,6.60899e+06,6.60899e+06,6.60899e+06,6596.83,6596.83,6596.83,11169.1,11169.1,11169.1,937098,937098,937098,227630,227630,227630,3.09294e+06,3.09294e+06,3.09294e+06,8.51497e+06,8.51497e+06,8.51497e+06,1.77593,1.77593,1.77593,1.65062,1.65062,1.65062,4.56419,4.56419,4.56419
783,2.03821e+06,2.03821e+06,2.03821e+06,2686.41,2686.41,2686.41,7602.37,7602.37,7602.37,3.89253e+06,3.89253e+06,3.89253e+06,6.60899e+06,6.60899e+06,6.60899e+06,6596.81,6596.81,6596.81,11169.1,11169.1,11169.1,937098,937098,937098,227630,227630,227630,3.09294e+06,3.09294e+06,3.09294e+06,8.51497e+06,8.51497e+06,8.51497e+06,1.77593,1.77593,1.77593,1.65062,1.65062,1.65062,4.56419,4.56419,4.56419
784,2.03821e+06,2.03821e+06,2.03821e+06,2686.42,2686.42,2686.42,7602.39,7602.39,7602.39,3.89253e+06,3.89253e+06,3.89253e+06,6.60899e+06,6.60899e+06,6.60899e+06,6596.8,6596.8,6596.8,11169,11169,11169,937098,937098,937098,227630,227630,227630,3.09294e+06,3.09294e+06,3.09294e+06,8.51497e+06,8.51497e+06,8.51497e+06,1.77593,1.77593,1.77593,1.65062,1.65062,1.65062,4.56419,4.56419,4.56419
785,2.03821e+06,2.03821e+06,2.03821e+06,2686.43,2686.43,2686.43,7602.4,7602.4,7602.4,3.89253e+06,3.89253e+06,3.89253e+06,6.60899e+06,6.60899e+06,6.60899e+06,6596.8,6596.8,6596.8,11169,11169,11169,937098,937098,937098,227630,227630,227630,3.09294e+06,3.09294e+06,3.09294e+06,8.51497e+06,8.51497e+06,8.51497e+06,1.77593,1.77593,1.77593,1.65062,1.65062,1.65062,4.56419,4.56419,4.56419
786,2.03821e+06,2.03821e+06,2.03821e+06,2686.43,2686.43,2686.43,7602.4,7602.4,7602.4,3.89253e+06,3.89253e+06,3.89253e+06,6.60899e+06,6.60899e+06,6.60899e+06,6596.79,6596.79,6596.79,11169,11169,11169,937098,937098,937098,227630,227630,227630,3.09294e+06,3.09294e+06,3.09294e+06,8.51497e+06,8.51497e+06,8.51497e+06,1.77593,1.77593,1.77593,1.65062,1.65062,1.65062,4.56419,4.56419,4.56419
787,2.03821e+06,2.03821e+06,2.03821e+06,2686.43,2686.43,2686.43,7602.4,7602.4,7602.4,3.89253e+06,3.89253e+06,3.89253e+06,6.60899e+06,6.60899e+06,6.60899e+06,6596.79,6596.79,6596.79,11169,11169,11169,937098,937098,937098,227630,227630,227630,3.09294e+06,3.09294e+06,3.09294e+06,8.51497e+06,8.51497e+06,8.51497e+06,1.77593,1.77593,1.77593,1.65062,1.65062,1.65062,4.56419,4.56419,4.56419
788,2.03821e+06,2.03821e+06,2.03821e+06,2686.43,2686.43,2686.43,7602.4,7602.4,7602.4,3.89253e+06,3.89253e+06,3.89253e+06,6.60899e+06,6.60899e+06,6.60899e+06,6596.79,6596.79,6596.79,11169,11169,11169,937098,937098,937098,227630,227630,227630,3.09294e+06,3.09294e+06,3.09294e+06,8.51497e+06,8.51497e+06,8.51497e+06,1.77593,1.77593,1.77593,1.65062,1.65062,1.65062,4.56419,4.56419,4.56419
789,2.03821e+06,2.03821e+06,2.03821e+06,2686.43,2686.43,2686.43,7602.4,7602.4,7602.4,3.89253e+06,3.89253e+06,3.89253e+06,6.60899e+06,6.60899e+06,6.60899e+06,6596.79,6596.79,6596.79,11169,11169,11169,937098,937098,937098,227630,227630,227630,3.09294e+06,3.09294e+06,3.09294e+06,8.51497e+06,8.51497e+06,8.51497e+06,1.77593,1.77593,1.77593,1.65062,1.65062,1.65062,4.56419,4.56419,4.56419
790,2.03821e+06,2.03821e+06,2.03821e+06,2686.43,2686.43,2686.43,7602.4,7602.4,7602.4,3.89253e+06,3.89253e+06,3.89253e+06,6.60899e+06,6.60899e+06,6.60899e+06,6596.79,6596.79,6596.79,11169,11169,11169,937098,937098,937098,227630,227630,227630,3.09294e+06,3.09294e+06,3.09294e+06,8.51497e+06,8.51497e+06,8.51497e+06,1.77593,1.77593,1.77593,1.65062,1.65062,1.65062,4.56419,4.56419,4.56419
791,2.03821e+06,2.03821e+06,2.03821e+06,2686.43,2686.43,2686.43,7602.4,7602.4,7602.4,3.89253e+06,3.89253e+06,3.89253e+06,6.60899e+06,6.60899e+06,6.60899e+06,6596.79,6596.79,6596.79,11169,11169,11169,937098,937098,937098,227630,227630,227630,3.09294e+06,3.09294e+06,3.09294e+06,8.51497e+06,8.51497e+06,8.51497e+06,1.77593,1.77593,1.77593,1.65062,1.65062,1.65062,4.56419,4.56419,4.56419
