time,low95:SS:Japan__all,SS:Japan__all,high95:SS:Japan__all,low95:IS:Japan__all,IS:Japan__all,high95:IS:Japan__all,low95:SI:Japan__all,SI:Japan__all,high95:SI:Japan__all,low95:RS:Japan__all,RS:Japan__all,high95:RS:Japan__all,low95:SR:Japan__all,SR:Japan__all,high95:SR:Japan__all,low95:IR:Japan__all,IR:Japan__all,high95:IR:Japan__all,low95:RI:Japan__all,RI:Japan__all,high95:RI:Japan__all,low95:SQ:Japan__all,SQ:Japan__all,high95:SQ:Japan__all,low95:QS:Japan__all,QS:Japan__all,high95:QS:Japan__all,low95:QR:Japan__all,QR:Japan__all,high95:QR:Japan__all,low95:RQ:Japan__all,RQ:Japan__all,high95:RQ:Japan__all,low95:RR:Japan__all,RR:Japan__all,high95:RR:Japan__all,low95:EV71_JAP__IASR__inc,EV71_JAP__IASR__inc,high95:EV71_JAP__IASR__inc,low95:CA16_JAP__IASR__inc,CA16_JAP__IASR__inc,high95:CA16_JAP__IASR__inc
0,4.27874e+06,4.27874e+06,4.27874e+06,3309.98,3309.98,3309.98,3078.75,3078.75,3078.75,2.03998e+07,2.03998e+07,2.03998e+07,1.82913e+07,1.82913e+07,1.82913e+07,1940.77,1940.77,1940.77,2013.59,2013.59,2013.59,281469,281469,281469,302294,302294,302294,176930,176930,176930,183753,183753,183753,8.27839e+07,8.27839e+07,8.27839e+07,0,0,0,0,0,0
1,4.28141e+06,4.28141e+06,4.28141e+06,3362.36,3362.36,3362.36,3128.1,3128.1,3128.1,2.04008e+07,2.04008e+07,2.04008e+07,1.82922e+07,1.82922e+07,1.82922e+07,1969.99,1969.99,1969.99,2044.36,2044.36,2044.36,281319,281319,281319,302142,302142,302142,176849,176849,176849,183664,183664,183664,8.27795e+07,8.27795e+07,8.27795e+07,8.05272,8.05272,8.05272,4.69981,4.69981,4.69981
2,4.28375e+06,4.28375e+06,4.28375e+06,3417.49,3417.49,3417.49,3179.68,3179.68,3179.68,2.04018e+07,2.04018e+07,2.04018e+07,1.8293e+07,1.8293e+07,1.8293e+07,2001.28,2001.28,2001.28,2077.02,2077.02,2077.02,281330,281330,281330,302161,302161,302161,176865,176865,176865,183676,183676,183676,8.27839e+07,8.27839e+07,8.27839e+07,8.18079,8.18079,8.18079,4.77519,4.77519,4.77519
3,4.28575e+06,4.28575e+06,4.28575e+06,3474.89,3474.89,3474.89,3233.03,3233.03,3233.03,2.04026e+07,2.04026e+07,2.04026e+07,1.82938e+07,1.82938e+07,1.82938e+07,2034.01,2034.01,2034.01,2110.95,2110.95,2110.95,281503,281503,281503,302354,302354,302354,176979,176979,176979,183790,183790,183790,8.27882e+07,8.27882e+07,8.27882e+07,8.3152,8.3152,8.3152,4.85376,4.85376,4.85376
4,4.2874e+06,4.2874e+06,4.2874e+06,3534.29,3534.29,3534.29,3287.91,3287.91,3287.91,2.04034e+07,2.04034e+07,2.04034e+07,1.82944e+07,1.82944e+07,1.82944e+07,2068.04,2068.04,2068.04,2146.01,2146.01,2146.01,281837,281837,281837,302722,302722,302722,177193,177193,177193,184008,184008,184008,8.27925e+07,8.27925e+07,8.27925e+07,8.45495,8.45495,8.45495,4.93495,4.93495,4.93495
5,4.28869e+06,4.28869e+06,4.28869e+06,3595.31,3595.31,3595.31,3343.97,3343.97,3343.97,2.0404e+07,2.0404e+07,2.0404e+07,1.8295e+07,1.8295e+07,1.8295e+07,2103.14,2103.14,2103.14,2181.97,2181.97,2181.97,282332,282332,282332,303263,303263,303263,177507,177507,177507,184328,184328,184328,8.27969e+07,8.27969e+07,8.27969e+07,8.59926,8.59926,8.59926,5.01831,5.01831,5.01831
6,4.28962e+06,4.28962e+06,4.28962e+06,3657.54,3657.54,3657.54,3400.85,3400.85,3400.85,2.04046e+07,2.04046e+07,2.04046e+07,1.82954e+07,1.82954e+07,1.82954e+07,2139.1,2139.1,2139.1,2218.63,2218.63,2218.63,282984,282984,282984,303975,303975,303975,177919,177919,177919,184749,184749,184749,8.28013e+07,8.28013e+07,8.28013e+07,8.7472,8.7472,8.7472,5.10333,5.10333,5.10333
7,4.29017e+06,4.29017e+06,4.29017e+06,3720.57,3720.57,3720.57,3458.18,3458.18,3458.18,2.04051e+07,2.04051e+07,2.04051e+07,1.82958e+07,1.82958e+07,1.82958e+07,2175.67,2175.67,2175.67,2255.74,2255.74,2255.74,283790,283790,283790,304858,304858,304858,178430,178430,178430,185270,185270,185270,8.28057e+07,8.28057e+07,8.28057e+07,8.89781,8.89781,8.89781,5.18946,5.18946,5.18946
8,4.29035e+06,4.29035e+06,4.29035e+06,3783.92,3783.92,3783.92,3515.54,3515.54,3515.54,2.04054e+07,2.04054e+07,2.04054e+07,1.82961e+07,1.82961e+07,1.82961e+07,2212.61,2212.61,2212.61,2293.05,2293.05,2293.05,284747,284747,284747,305905,305905,305905,179036,179036,179036,185888,185888,185888,8.28101e+07,8.28101e+07,8.28101e+07,9.05001,9.05001,9.05001,5.2761,5.2761,5.2761
9,4.29017e+06,4.29017e+06,4.29017e+06,3847.1,3847.1,3847.1,3572.5,3572.5,3572.5,2.04057e+07,2.04057e+07,2.04057e+07,1.82962e+07,1.82962e+07,1.82962e+07,2249.62,2249.62,2249.62,2330.27,2330.27,2330.27,285846,285846,285846,307112,307112,307112,179737,179737,179737,186600,186600,186600,8.28146e+07,8.28146e+07,8.28146e+07,9.20267,9.20267,9.20267,5.36262,5.36262,5.36262
