time,low95:SS:Japan__all,SS:Japan__all,high95:SS:Japan__all,low95:IS:Japan__all,IS:Japan__all,high95:IS:Japan__all,low95:SI:Japan__all,SI:Japan__all,high95:SI:Japan__all,low95:RS:Japan__all,RS:Japan__all,high95:RS:Japan__all,low95:SR:Japan__all,SR:Japan__all,high95:SR:Japan__all,low95:IR:Japan__all,IR:Japan__all,high95:IR:Japan__all,low95:RI:Japan__all,RI:Japan__all,high95:RI:Japan__all,low95:SQ:Japan__all,SQ:Japan__all,high95:SQ:Japan__all,low95:QS:Japan__all,QS:Japan__all,high95:QS:Japan__all,low95:QR:Japan__all,QR:Japan__all,high95:QR:Japan__all,low95:RQ:Japan__all,RQ:Japan__all,high95:RQ:Japan__all,low95:EV71_JAP__IASR__inc,EV71_JAP__IASR__inc,high95:EV71_JAP__IASR__inc,low95:VAC_JAP__IASR__inc,VAC_JAP__IASR__inc,high95:VAC_JAP__IASR__inc,low95:CA16_JAP__IASR__inc,CA16_JAP__IASR__inc,high95:CA16_JAP__IASR__inc
782,2.57185e+06,2.57185e+06,2.57185e+06,7140.63,7140.63,7140.63,7661.44,7661.44,7661.44,3.12385e+06,3.12385e+06,3.12385e+06,6.05632e+06,6.05632e+06,6.05632e+06,12782.7,12782.7,12782.7,7238.19,7238.19,7238.19,816841,816841,816841,403590,403590,403590,5.6763e+06,5.6763e+06,5.6763e+06,7.32007e+06,7.32007e+06,7.32007e+06,3.81563,3.81563,3.81563,0.836313,0.836313,0.836313,3.62287,3.62287,3.62287
783,2.57151e+06,2.57151e+06,2.57151e+06,7124.66,7124.66,7124.66,7659.84,7659.84,7659.84,3.1262e+06,3.1262e+06,3.1262e+06,6.05263e+06,6.05263e+06,6.05263e+06,12748.3,12748.3,12748.3,7242.57,7242.57,7242.57,814355,814355,814355,405620,405620,405620,5.70339e+06,5.70339e+06,5.70339e+06,7.29842e+06,7.29842e+06,7.29842e+06,3.80677,3.80677,3.80677,0.836313,0.836313,0.836313,3.62303,3.62303,3.62303
784,2.57119e+06,2.57119e+06,2.57119e+06,7105.88,7105.88,7105.88,7660.37,7660.37,7660.37,3.12863e+06,3.12863e+06,3.12863e+06,6.04891e+06,6.04891e+06,6.04891e+06,12708.8,12708.8,12708.8,7249.16,7249.16,7249.16,811951,811951,811951,407541,407541,407541,5.72888e+06,5.72888e+06,5.72888e+06,7.27763e+06,7.27763e+06,7.27763e+06,3.79637,3.79637,3.79637,0.836313,0.836313,0.836313,3.62423,3.62423,3.62423
785,2.57089e+06,2.57089e+06,2.57089e+06,7084.38,7084.38,7084.38,7663.1,7663.1,7663.1,3.13114e+06,3.13114e+06,3.13114e+06,6.04514e+06,6.04514e+06,6.04514e+06,12664.3,12664.3,12664.3,7257.98,7257.98,7257.98,809636,809636,809636,409352,409352,409352,5.75274e+06,5.75274e+06,5.75274e+06,7.25773e+06,7.25773e+06,7.25773e+06,3.78448,3.78448,3.78448,0.836313,0.836313,0.836313,3.6265,3.6265,3.6265
786,2.57062e+06,2.57062e+06,2.57062e+06,7060.23,7060.23,7060.23,7668.08,7668.08,7668.08,3.13372e+06,3.13372e+06,3.13372e+06,6.04135e+06,6.04135e+06,6.04135e+06,12614.9,12614.9,12614.9,7269.07,7269.07,7269.07,807413,807413,807413,411049,411049,411049,5.77494e+06,5.77494e+06,5.77494e+06,7.23876e+06,7.23876e+06,7.23876e+06,3.77113,3.77113,3.77113,0.836313,0.836313,0.836313,3.62986,3.62986,3.62986
787,2.57036e+06,2.57036e+06,2.57036e+06,7033.52,7033.52,7033.52,7675.37,7675.37,7675.37,3.13638e+06,3.13638e+06,3.13638e+06,6.03752e+06,6.03752e+06,6.03752e+06,12560.9,12560.9,12560.9,7282.47,7282.47,7282.47,805286,805286,805286,412632,412632,412632,5.79545e+06,5.79545e+06,5.79545e+06,7.22075e+06,7.22075e+06,7.22075e+06,3.75636,3.75636,3.75636,0.836313,0.836313,0.836313,3.63432,3.63432,3.63432
788,2.57012e+06,2.57012e+06,2.57012e+06,7004.31,7004.31,7004.31,7685,7685,7685,3.1391e+06,3.1391e+06,3.1391e+06,6.03366e+06,6.03366e+06,6.03366e+06,12502.2,12502.2,12502.2,7298.2,7298.2,7298.2,803261,803261,803261,414099,414099,414099,5.81427e+06,5.81427e+06,5.81427e+06,7.20376e+06,7.20376e+06,7.20376e+06,3.74023,3.74023,3.74023,0.836313,0.836313,0.836313,3.63992,3.63992,3.63992
789,2.56991e+06,2.56991e+06,2.56991e+06,6972.7,6972.7,6972.7,7697.01,7697.01,7697.01,3.14189e+06,3.14189e+06,3.14189e+06,6.02978e+06,6.02978e+06,6.02978e+06,12439.2,12439.2,12439.2,7316.31,7316.31,7316.31,801341,801341,801341,415448,415448,415448,5.83136e+06,5.83136e+06,5.83136e+06,7.18782e+06,7.18782e+06,7.18782e+06,3.72277,3.72277,3.72277,0.836313,0.836313,0.836313,3.64666,3.64666,3.64666
790,2.56971e+06,2.56971e+06,2.56971e+06,6938.76,6938.76,6938.76,7711.44,7711.44,7711.44,3.14474e+06,3.14474e+06,3.14474e+06,6.02588e+06,6.02588e+06,6.02588e+06,12371.9,12371.9,12371.9,7336.83,7336.83,7336.83,799531,799531,799531,416678,416678,416678,5.84673e+06,5.84673e+06,5.84673e+06,7.17296e+06,7.17296e+06,7.17296e+06,3.70403,3.70403,3.70403,0.836313,0.836313,0.836313,3.65457,3.65457,3.65457
791,2.56954e+06,2.56954e+06,2.56954e+06,6902.6,6902.6,6902.6,7728.32,7728.32,7728.32,3.14764e+06,3.14764e+06,3.14764e+06,6.02195e+06,6.02195e+06,6.02195e+06,12300.6,12300.6,12300.6,7359.79,7359.79,7359.79,797836,797836,797836,417788,417788,417788,5.86035e+06,5.86035e+06,5.86035e+06,7.15923e+06,7.15923e+06,7.15923e+06,3.68406,3.68406,3.68406,0.836313,0.836313,0.836313,3.66366,3.66366,3.66366
