time,low95:SS:Japan__all,SS:Japan__all,high95:SS:Japan__all,low95:IS:Japan__all,IS:Japan__all,high95:IS:Japan__all,low95:SI:Japan__all,SI:Japan__all,high95:SI:Japan__all,low95:RS:Japan__all,RS:Japan__all,high95:RS:Japan__all,low95:SR:Japan__all,SR:Japan__all,high95:SR:Japan__all,low95:IR:Japan__all,IR:Japan__all,high95:IR:Japan__all,low95:RI:Japan__all,RI:Japan__all,high95:RI:Japan__all,low95:RR:Japan__all,RR:Japan__all,high95:RR:Japan__all,low95:EV71_JAP__IASR__inc,EV71_JAP__IASR__inc,high95:EV71_JAP__IASR__inc,low95:CA16_JAP__IASR__inc,CA16_JAP__IASR__inc,high95:CA16_JAP__IASR__inc
0,5.66503e+06,5.66503e+06,5.66503e+06,1940.97,1940.97,1940.97,1960.87,1960.87,1960.87,2.0965e+06,2.0965e+06,2.0965e+06,2.11549e+06,2.11549e+06,2.11549e+06,2717.51,2717.51,2717.51,2732.85,2732.85,2732.85,1.16822e+08,1.16822e+08,1.16822e+08,0,0,0,0,0,0
1,5.66814e+06,5.66814e+06,5.66814e+06,1980.87,1980.87,1980.87,2001.69,2001.69,2001.69,2.09654e+06,2.09654e+06,2.09654e+06,2.11555e+06,2.11555e+06,2.11555e+06,2772.37,2772.37,2772.37,2789.75,2789.75,2789.75,1.16819e+08,1.16819e+08,1.16819e+08,1.392,1.392,1.392,5.16521,5.16521,5.16521
2,5.67085e+06,5.67085e+06,5.67085e+06,2022.55,2022.55,2022.55,2043.81,2043.81,2043.81,2.09658e+06,2.09658e+06,2.09658e+06,2.11563e+06,2.11563e+06,2.11563e+06,2830.08,2830.08,2830.08,2847.84,2847.84,2847.84,1.16824e+08,1.16824e+08,1.16824e+08,1.42075,1.42075,1.42075,5.27313,5.27313,5.27313
3,5.67314e+06,5.67314e+06,5.67314e+06,2065.72,2065.72,2065.72,2086.55,2086.55,2086.55,2.09664e+06,2.09664e+06,2.09664e+06,2.11571e+06,2.11571e+06,2.11571e+06,2889.96,2889.96,2889.96,2906.85,2906.85,2906.85,1.1683e+08,1.1683e+08,1.1683e+08,1.45071,1.45071,1.45071,5.38315,5.38315,5.38315
4,5.67501e+06,5.67501e+06,5.67501e+06,2110.21,2110.21,2110.21,2129.71,2129.71,2129.71,2.09671e+06,2.09671e+06,2.09671e+06,2.11581e+06,2.11581e+06,2.11581e+06,2951.76,2951.76,2951.76,2966.52,2966.52,2966.52,1.16837e+08,1.16837e+08,1.16837e+08,1.48168,1.48168,1.48168,5.49461,5.49461,5.49461
5,5.67645e+06,5.67645e+06,5.67645e+06,2155.75,2155.75,2155.75,2173.02,2173.02,2173.02,2.09679e+06,2.09679e+06,2.09679e+06,2.11591e+06,2.11591e+06,2.11591e+06,3015.13,3015.13,3015.13,3026.51,3026.51,3026.51,1.16844e+08,1.16844e+08,1.16844e+08,1.51353,1.51353,1.51353,5.60692,5.60692,5.60692
6,5.67745e+06,5.67745e+06,5.67745e+06,2202.07,2202.07,2202.07,2216.23,2216.23,2216.23,2.09689e+06,2.09689e+06,2.09689e+06,2.11601e+06,2.11601e+06,2.11601e+06,3079.7,3079.7,3079.7,3086.46,3086.46,3086.46,1.16851e+08,1.16851e+08,1.16851e+08,1.54606,1.54606,1.54606,5.71942,5.71942,5.71942
7,5.67802e+06,5.67802e+06,5.67802e+06,2248.86,2248.86,2248.86,2259.04,2259.04,2259.04,2.097e+06,2.097e+06,2.097e+06,2.11611e+06,2.11611e+06,2.11611e+06,3145.03,3145.03,3145.03,3145.97,3145.97,3145.97,1.16859e+08,1.16859e+08,1.16859e+08,1.57906,1.57906,1.57906,5.83139,5.83139,5.83139
8,5.67815e+06,5.67815e+06,5.67815e+06,2295.8,2295.8,2295.8,2301.15,2301.15,2301.15,2.09714e+06,2.09714e+06,2.09714e+06,2.11622e+06,2.11622e+06,2.11622e+06,3210.67,3210.67,3210.67,3204.62,3204.62,3204.62,1.16867e+08,1.16867e+08,1.16867e+08,1.61232,1.61232,1.61232,5.94205,5.94205,5.94205
9,5.67786e+06,5.67786e+06,5.67786e+06,2342.52,2342.52,2342.52,2342.22,2342.22,2342.22,2.09729e+06,2.09729e+06,2.09729e+06,2.11632e+06,2.11632e+06,2.11632e+06,3276.11,3276.11,3276.11,3261.96,3261.96,3261.96,1.16875e+08,1.16875e+08,1.16875e+08,1.64559,1.64559,1.64559,6.05059,6.05059,6.05059
10,5.67716e+06,5.67716e+06,5.67716e+06,2388.62,2388.62,2388.62,2381.93,2381.93,2381.93,2.09746e+06,2.09746e+06,2.09746e+06,2.11642e+06,2.11642e+06,2.11642e+06,3340.82,3340.82,3340.82,3317.53,3317.53,3317.53,1.16884e+08,1.16884e+08,1.16884e+08,1.67859,1.67859,1.67859,6.15614,6.15614,6.15614
11,5.67605e+06,5.67605e+06,5.67605e+06,2433.71,2433.71,2433.71,2419.92,2419.92,2419.92,2.09766e+06,2.09766e+06,2.09766e+06,2.11652e+06,2.11652e+06,2.11652e+06,3404.23,3404.23,3404.23,3370.85,3370.85,3370.85,1.16894e+08,1.16894e+08,1.16894e+08,1.71106,1.71106,1.71106,6.25783,6.25783,6.25783
12,5.67455e+06,5.67455e+06,5.67455e+06,2477.36,2477.36,2477.36,2455.85,2455.85,2455.85,2.09788e+06,2.09788e+06,2.09788e+06,2.11661e+06,2.11661e+06,2.11661e+06,3465.73,3465.73,3465.73,3421.44,3421.44,3421.44,1.16903e+08,1.16903e+08,1.16903e+08,1.74268,1.74268,1.74268,6.35475,6.35475,6.35475
13,5.67268e+06,5.67268e+06,5.67268e+06,2519.13,2519.13,2519.13,2489.37,2489.37,2489.37,2.09812e+06,2.09812e+06,2.09812e+06,2.11669e+06,2.11669e+06,2.11669e+06,3524.73,3524.73,3524.73,3468.81,3468.81,3468.81,1.16913e+08,1.16913e+08,1.16913e+08,1.77317,1.77317,1.77317,6.44599,6.44599,6.44599
14,5.67047e+06,5.67047e+06,5.67047e+06,2558.58,2558.58,2558.58,2520.16,2520.16,2520.16,2.09838e+06,2.09838e+06,2.09838e+06,2.11676e+06,2.11676e+06,2.11676e+06,3580.62,3580.62,3580.62,3512.51,3512.51,3512.51,1.16924e+08,1.16924e+08,1.16924e+08,1.8022,1.8022,1.8022,6.53068,6.53068,6.53068
15,5.66794e+06,5.66794e+06,5.66794e+06,2595.3,2595.3,2595.3,2547.9,2547.9,2547.9,2.09867e+06,2.09867e+06,2.09867e+06,2.11682e+06,2.11682e+06,2.11682e+06,3632.78,3632.78,3632.78,3552.09,3552.09,3552.09,1.16935e+08,1.16935e+08,1.16935e+08,1.82947,1.82947,1.82947,6.60798,6.60798,6.60798
16,5.66512e+06,5.66512e+06,5.66512e+06,2628.87,2628.87,2628.87,2572.3,2572.3,2572.3,2.09897e+06,2.09897e+06,2.09897e+06,2.11687e+06,2.11687e+06,2.11687e+06,3680.63,3680.63,3680.63,3587.15,3587.15,3587.15,1.16946e+08,1.16946e+08,1.16946e+08,1.85469,1.85469,1.85469,6.67708,6.67708,6.67708
17,5.66205e+06,5.66205e+06,5.66205e+06,2658.9,2658.9,2658.9,2593.12,2593.12,2593.12,2.0993e+06,2.0993e+06,2.0993e+06,2.11691e+06,2.11691e+06,2.11691e+06,3723.62,3723.62,3723.62,3617.33,3617.33,3617.33,1.16957e+08,1.16957e+08,1.16957e+08,1.87755,1.87755,1.87755,6.73729,6.73729,6.73729
18,5.65877e+06,5.65877e+06,5.65877e+06,2685.04,2685.04,2685.04,2610.15,2610.15,2610.15,2.09966e+06,2.09966e+06,2.09966e+06,2.11694e+06,2.11694e+06,2.11694e+06,3761.24,3761.24,3761.24,3642.31,3642.31,3642.31,1.16968e+08,1.16968e+08,1.16968e+08,1.89781,1.89781,1.89781,6.78798,6.78798,6.78798
19,5.65531e+06,5.65531e+06,5.65531e+06,2706.99,2706.99,2706.99,2623.22,2623.22,2623.22,2.10003e+06,2.10003e+06,2.10003e+06,2.11695e+06,2.11695e+06,2.11695e+06,3793.06,3793.06,3793.06,3661.87,3661.87,3661.87,1.1698e+08,1.1698e+08,1.1698e+08,1.91521,1.91521,1.91521,6.82866,6.82866,6.82866
20,5.65171e+06,5.65171e+06,5.65171e+06,2724.49,2724.49,2724.49,2632.22,2632.22,2632.22,2.10042e+06,2.10042e+06,2.10042e+06,2.11694e+06,2.11694e+06,2.11694e+06,3818.7,3818.7,3818.7,3675.82,3675.82,3675.82,1.16992e+08,1.16992e+08,1.16992e+08,1.92955,1.92955,1.92955,6.85895,6.85895,6.85895
21,5.64802e+06,5.64802e+06,5.64802e+06,2737.35,2737.35,2737.35,2637.12,2637.12,2637.12,2.10082e+06,2.10082e+06,2.10082e+06,2.11692e+06,2.11692e+06,2.11692e+06,3837.88,3837.88,3837.88,3684.09,3684.09,3684.09,1.17004e+08,1.17004e+08,1.17004e+08,1.94068,1.94068,1.94068,6.87862,6.87862,6.87862
22,5.64428e+06,5.64428e+06,5.64428e+06,2745.45,2745.45,2745.45,2637.9,2637.9,2637.9,2.10124e+06,2.10124e+06,2.10124e+06,2.11689e+06,2.11689e+06,2.11689e+06,3850.4,3850.4,3850.4,3686.65,3686.65,3686.65,1.17016e+08,1.17016e+08,1.17016e+08,1.94848,1.94848,1.94848,6.8876,6.8876,6.8876
23,5.64053e+06,5.64053e+06,5.64053e+06,2748.74,2748.74,2748.74,2634.64,2634.64,2634.64,2.10167e+06,2.10167e+06,2.10167e+06,2.11685e+06,2.11685e+06,2.11685e+06,3856.18,3856.18,3856.18,3683.58,3683.58,3683.58,1.17028e+08,1.17028e+08,1.17028e+08,1.95287,1.95287,1.95287,6.88596,6.88596,6.88596
24,5.63681e+06,5.63681e+06,5.63681e+06,2747.23,2747.23,2747.23,2627.47,2627.47,2627.47,2.10211e+06,2.10211e+06,2.10211e+06,2.11679e+06,2.11679e+06,2.11679e+06,3855.21,3855.21,3855.21,3675.04,3675.04,3675.04,1.1704e+08,1.1704e+08,1.1704e+08,1.95384,1.95384,1.95384,6.87393,6.87393,6.87393
25,5.63317e+06,5.63317e+06,5.63317e+06,2741.02,2741.02,2741.02,2616.56,2616.56,2616.56,2.10255e+06,2.10255e+06,2.10255e+06,2.11672e+06,2.11672e+06,2.11672e+06,3847.61,3847.61,3847.61,3661.25,3661.25,3661.25,1.17052e+08,1.17052e+08,1.17052e+08,1.95143,1.95143,1.95143,6.85188,6.85188,6.85188
26,5.62964e+06,5.62964e+06,5.62964e+06,2730.27,2730.27,2730.27,2602.16,2602.16,2602.16,2.103e+06,2.103e+06,2.103e+06,2.11665e+06,2.11665e+06,2.11665e+06,3833.59,3833.59,3833.59,3642.53,3642.53,3642.53,1.17064e+08,1.17064e+08,1.17064e+08,1.94571,1.94571,1.94571,6.82034,6.82034,6.82034
27,5.62626e+06,5.62626e+06,5.62626e+06,2715.2,2715.2,2715.2,2584.53,2584.53,2584.53,2.10345e+06,2.10345e+06,2.10345e+06,2.11656e+06,2.11656e+06,2.11656e+06,3813.46,3813.46,3813.46,3619.25,3619.25,3619.25,1.17076e+08,1.17076e+08,1.17076e+08,1.93682,1.93682,1.93682,6.77995,6.77995,6.77995
28,5.62306e+06,5.62306e+06,5.62306e+06,2696.11,2696.11,2696.11,2563.99,2563.99,2563.99,2.1039e+06,2.1039e+06,2.1039e+06,2.11647e+06,2.11647e+06,2.11647e+06,3787.6,3787.6,3787.6,3591.82,3591.82,3591.82,1.17087e+08,1.17087e+08,1.17087e+08,1.92495,1.92495,1.92495,6.73148,6.73148,6.73148
29,5.62007e+06,5.62007e+06,5.62007e+06,2673.33,2673.33,2673.33,2540.9,2540.9,2540.9,2.10434e+06,2.10434e+06,2.10434e+06,2.11637e+06,2.11637e+06,2.11637e+06,3756.47,3756.47,3756.47,3560.73,3560.73,3560.73,1.17099e+08,1.17099e+08,1.17099e+08,1.91031,1.91031,1.91031,6.67578,6.67578,6.67578
30,5.61733e+06,5.61733e+06,5.61733e+06,2647.25,2647.25,2647.25,2515.63,2515.63,2515.63,2.10478e+06,2.10478e+06,2.10478e+06,2.11627e+06,2.11627e+06,2.11627e+06,3720.61,3720.61,3720.61,3526.48,3526.48,3526.48,1.1711e+08,1.1711e+08,1.1711e+08,1.89315,1.89315,1.89315,6.61378,6.61378,6.61378
31,5.61485e+06,5.61485e+06,5.61485e+06,2618.27,2618.27,2618.27,2488.55,2488.55,2488.55,2.1052e+06,2.1052e+06,2.1052e+06,2.11616e+06,2.11616e+06,2.11616e+06,3680.59,3680.59,3680.59,3489.61,3489.61,3489.61,1.17121e+08,1.17121e+08,1.17121e+08,1.87375,1.87375,1.87375,6.54645,6.54645,6.54645
32,5.61265e+06,5.61265e+06,5.61265e+06,2586.84,2586.84,2586.84,2460.07,2460.07,2460.07,2.10561e+06,2.10561e+06,2.10561e+06,2.11605e+06,2.11605e+06,2.11605e+06,3637.02,3637.02,3637.02,3450.65,3450.65,3450.65,1.17132e+08,1.17132e+08,1.17132e+08,1.85243,1.85243,1.85243,6.47481,6.47481,6.47481
