time,low95:SS:Japan__all,SS:Japan__all,high95:SS:Japan__all,low95:IS:Japan__all,IS:Japan__all,high95:IS:Japan__all,low95:SI:Japan__all,SI:Japan__all,high95:SI:Japan__all,low95:RS:Japan__all,RS:Japan__all,high95:RS:Japan__all,low95:SR:Japan__all,SR:Japan__all,high95:SR:Japan__all,low95:IR:Japan__all,IR:Japan__all,high95:IR:Japan__all,low95:RI:Japan__all,RI:Japan__all,high95:RI:Japan__all,low95:SQ:Japan__all,SQ:Japan__all,high95:SQ:Japan__all,low95:QS:Japan__all,QS:Japan__all,high95:QS:Japan__all,low95:QR:Japan__all,QR:Japan__all,high95:QR:Japan__all,low95:RQ:Japan__all,RQ:Japan__all,high95:RQ:Japan__all,low95:RR:Japan__all,RR:Japan__all,high95:RR:Japan__all,low95:EV71_JAP__IASR__inc,EV71_JAP__IASR__inc,high95:EV71_JAP__IASR__inc,low95:CA16_JAP__IASR__inc,CA16_JAP__IASR__inc,high95:CA16_JAP__IASR__inc
0,4.30025e+06,4.30025e+06,4.30025e+06,11.4615,11.4615,11.4615,11.8405,11.8405,11.8405,5.29559e+06,5.29559e+06,5.29559e+06,6.5933e+06,6.5933e+06,6.5933e+06,10.2704,10.2704,10.2704,8.52942,8.52942,8.52942,792363,792363,792363,92746.7,92746.7,92746.7,651034,651034,651034,5.35393e+06,5.35393e+06,5.35393e+06,1.03629e+08,1.03629e+08,1.03629e+08,0,0,0,0,0,0
1,4.32257e+06,4.32257e+06,4.32257e+06,14.2809,14.2809,14.2809,13.2252,13.2252,13.2252,5.29713e+06,5.29713e+06,5.29713e+06,6.61255e+06,6.61255e+06,6.61255e+06,12.7705,12.7705,12.7705,9.4829,9.4829,9.4829,772043,772043,772043,90437.7,90437.7,90437.7,634817,634817,634817,5.21655e+06,5.21655e+06,5.21655e+06,1.03762e+08,1.03762e+08,1.03762e+08,0.0260942,0.0260942,0.0260942,0.00703805,0.00703805,0.00703805
2,4.34486e+06,4.34486e+06,4.34486e+06,17.9721,17.9721,17.9721,14.8777,14.8777,14.8777,5.29859e+06,5.29859e+06,5.29859e+06,6.63126e+06,6.63126e+06,6.63126e+06,16.0344,16.0344,16.0344,10.616,10.616,10.616,752256,752256,752256,88208.1,88208.1,88208.1,619156,619156,619156,5.08277e+06,5.08277e+06,5.08277e+06,1.039e+08,1.039e+08,1.039e+08,0.0326477,0.0326477,0.0326477,0.00787421,0.00787421,0.00787421
3,4.36714e+06,4.36714e+06,4.36714e+06,22.8454,22.8454,22.8454,16.8544,16.8544,16.8544,5.29998e+06,5.29998e+06,5.29998e+06,6.64944e+06,6.64944e+06,6.64944e+06,20.3343,20.3343,20.3343,11.9682,11.9682,11.9682,732991,732991,732991,86062.3,86062.3,86062.3,604080,604080,604080,4.95251e+06,4.95251e+06,4.95251e+06,1.04034e+08,1.04034e+08,1.04034e+08,0.0412547,0.0412547,0.0412547,0.00887179,0.00887179,0.00887179
4,4.38938e+06,4.38938e+06,4.38938e+06,29.3396,29.3396,29.3396,19.2298,19.2298,19.2298,5.30129e+06,5.30129e+06,5.30129e+06,6.66711e+06,6.66711e+06,6.66711e+06,26.0518,26.0518,26.0518,13.589,13.589,13.589,714238,714238,714238,84006.7,84006.7,84006.7,589635,589635,589635,4.82569e+06,4.82569e+06,4.82569e+06,1.04163e+08,1.04163e+08,1.04163e+08,0.0526621,0.0526621,0.0526621,0.0100667,0.0100667,0.0100667
5,4.41159e+06,4.41159e+06,4.41159e+06,38.0745,38.0745,38.0745,22.0979,22.0979,22.0979,5.30252e+06,5.30252e+06,5.30252e+06,6.68426e+06,6.68426e+06,6.68426e+06,33.7247,33.7247,33.7247,15.5405,15.5405,15.5405,695986,695986,695986,82050.7,82050.7,82050.7,575885,575885,575885,4.70225e+06,4.70225e+06,4.70225e+06,1.04289e+08,1.04289e+08,1.04289e+08,0.0679217,0.0679217,0.0679217,0.0115045,0.0115045,0.0115045
6,4.43375e+06,4.43375e+06,4.43375e+06,49.9329,49.9329,49.9329,25.5785,25.5785,25.5785,5.30365e+06,5.30365e+06,5.30365e+06,6.7009e+06,6.7009e+06,6.7009e+06,44.1174,44.1174,44.1174,17.902,17.902,17.902,678225,678225,678225,80208.2,80208.2,80208.2,562927,562927,562927,4.58211e+06,4.58211e+06,4.58211e+06,1.0441e+08,1.0441e+08,1.0441e+08,0.0885247,0.0885247,0.0885247,0.013243,0.013243,0.013243
7,4.45585e+06,4.45585e+06,4.45585e+06,66.1822,66.1822,66.1822,29.8246,29.8246,29.8246,5.30468e+06,5.30468e+06,5.30468e+06,6.71703e+06,6.71703e+06,6.71703e+06,58.3249,58.3249,58.3249,20.7741,20.7741,20.7741,660949,660949,660949,78499.3,78499.3,78499.3,550898,550898,550898,4.46522e+06,4.46522e+06,4.46522e+06,1.04527e+08,1.04527e+08,1.04527e+08,0.116602,0.116602,0.116602,0.015356,0.015356,0.015356
8,4.47787e+06,4.47787e+06,4.47787e+06,88.6555,88.6555,88.6555,35.0329,35.0329,35.0329,5.30559e+06,5.30559e+06,5.30559e+06,6.73264e+06,6.73264e+06,6.73264e+06,77.9275,77.9275,77.9275,24.2858,24.2858,24.2858,644150,644150,644150,76952.7,76952.7,76952.7,539999,539999,539999,4.35153e+06,4.35153e+06,4.35153e+06,1.0464e+08,1.0464e+08,1.0464e+08,0.155221,0.155221,0.155221,0.0179377,0.0179377,0.0179377
9,4.49979e+06,4.49979e+06,4.49979e+06,120.024,120.024,120.024,41.4567,41.4567,41.4567,5.30635e+06,5.30635e+06,5.30635e+06,6.74773e+06,6.74773e+06,6.74773e+06,105.223,105.223,105.223,28.6027,28.6027,28.6027,627824,627824,627824,75610.5,75610.5,75610.5,530522,530522,530522,4.241e+06,4.241e+06,4.241e+06,1.04749e+08,1.04749e+08,1.04749e+08,0.208832,0.208832,0.208832,0.0211092,0.0211092,0.0211092
