time,low95:SS:Japan__all,SS:Japan__all,high95:SS:Japan__all,low95:IS:Japan__all,IS:Japan__all,high95:IS:Japan__all,low95:SI:Japan__all,SI:Japan__all,high95:SI:Japan__all,low95:RS:Japan__all,RS:Japan__all,high95:RS:Japan__all,low95:SR:Japan__all,SR:Japan__all,high95:SR:Japan__all,low95:IR:Japan__all,IR:Japan__all,high95:IR:Japan__all,low95:RI:Japan__all,RI:Japan__all,high95:RI:Japan__all,low95:SQ:Japan__all,SQ:Japan__all,high95:SQ:Japan__all,low95:QS:Japan__all,QS:Japan__all,high95:QS:Japan__all,low95:QR:Japan__all,QR:Japan__all,high95:QR:Japan__all,low95:RQ:Japan__all,RQ:Japan__all,high95:RQ:Japan__all,low95:RR:Japan__all,RR:Japan__all,high95:RR:Japan__all,low95:EV71_JAP__IASR__inc,EV71_JAP__IASR__inc,high95:EV71_JAP__IASR__inc,low95:CA16_JAP__IASR__inc,CA16_JAP__IASR__inc,high95:CA16_JAP__IASR__inc
0,6.58583e+06,6.58583e+06,6.58583e+06,0.0883614,0.0883614,0.0883614,28.8114,28.8114,28.8114,1.18933e+07,1.18933e+07,1.18933e+07,1.18125e+07,1.18125e+07,1.18125e+07,0.0650138,0.0650138,0.0650138,21.3795,21.3795,21.3795,2.28188e+06,2.28188e+06,2.28188e+06,77130.3,77130.3,77130.3,182273,182273,182273,5.41275e+06,5.41275e+06,5.41275e+06,8.84627e+07,8.84627e+07,8.84627e+07,0,0,0,0,0,0
1,6.60782e+06,6.60782e+06,6.60782e+06,0.0939038,0.0939038,0.0939038,24.4593,24.4593,24.4593,1.18936e+07,1.18936e+07,1.18936e+07,1.18722e+07,1.18722e+07,1.18722e+07,0.0692227,0.0692227,0.0692227,18.0961,18.0961,18.0961,2.22029e+06,2.22029e+06,2.22029e+06,75042.5,75042.5,75042.5,177339,177339,177339,5.26662e+06,5.26662e+06,5.26662e+06,8.85955e+07,8.85955e+07,8.85955e+07,9.14619e-05,9.14619e-05,9.14619e-05,0.0555375,0.0555375,0.0555375
2,6.62981e+06,6.62981e+06,6.62981e+06,0.0995885,0.0995885,0.0995885,20.878,20.878,20.878,1.18939e+07,1.18939e+07,1.18939e+07,1.19301e+07,1.19301e+07,1.19301e+07,0.0735311,0.0735311,0.0735311,15.3955,15.3955,15.3955,2.16033e+06,2.16033e+06,2.16033e+06,73011.2,73011.2,73011.2,172539,172539,172539,5.12438e+06,5.12438e+06,5.12438e+06,8.8733e+07,8.8733e+07,8.8733e+07,9.71626e-05,9.71626e-05,9.71626e-05,0.047211,0.047211,0.047211
3,6.65181e+06,6.65181e+06,6.65181e+06,0.105482,0.105482,0.105482,17.9149,17.9149,17.9149,1.18941e+07,1.18941e+07,1.18941e+07,1.19865e+07,1.19865e+07,1.19865e+07,0.0779957,0.0779957,0.0779957,13.167,13.167,13.167,2.10198e+06,2.10198e+06,2.10198e+06,71035,71035,71035,167869,167869,167869,4.98594e+06,4.98594e+06,4.98594e+06,8.88666e+07,8.88666e+07,8.88666e+07,0.000103038,0.000103038,0.000103038,0.0403448,0.0403448,0.0403448
4,6.6738e+06,6.6738e+06,6.6738e+06,0.111659,0.111659,0.111659,15.4542,15.4542,15.4542,1.18943e+07,1.18943e+07,1.18943e+07,1.20413e+07,1.20413e+07,1.20413e+07,0.0826715,0.0826715,0.0826715,11.3211,11.3211,11.3211,2.04519e+06,2.04519e+06,2.04519e+06,69112.4,69112.4,69112.4,163325,163325,163325,4.85121e+06,4.85121e+06,4.85121e+06,8.89963e+07,8.89963e+07,8.89963e+07,0.000109162,0.000109162,0.000109162,0.0346601,0.0346601,0.0346601
5,6.6958e+06,6.6958e+06,6.6958e+06,0.11819,0.11819,0.11819,13.4031,13.4031,13.4031,1.18944e+07,1.18944e+07,1.18944e+07,1.20946e+07,1.20946e+07,1.20946e+07,0.0876096,0.0876096,0.0876096,9.78637,9.78637,9.78637,1.98992e+06,1.98992e+06,1.98992e+06,67241.9,67241.9,67241.9,158905,158905,158905,4.72008e+06,4.72008e+06,4.72008e+06,8.91224e+07,8.91224e+07,8.91224e+07,0.000115607,0.000115607,0.000115607,0.0299358,0.0299358,0.0299358
6,6.71779e+06,6.71779e+06,6.71779e+06,0.125144,0.125144,0.125144,11.6871,11.6871,11.6871,1.18944e+07,1.18944e+07,1.18944e+07,1.21463e+07,1.21463e+07,1.21463e+07,0.0928607,0.0928607,0.0928607,8.50551,8.50551,8.50551,1.93613e+06,1.93613e+06,1.93613e+06,65422,65422,65422,154604,154604,154604,4.59248e+06,4.59248e+06,4.59248e+06,8.92447e+07,8.92447e+07,8.92447e+07,0.000122443,0.000122443,0.000122443,0.025995,0.025995,0.025995
7,6.73978e+06,6.73978e+06,6.73978e+06,0.132592,0.132592,0.132592,10.2464,10.2464,10.2464,1.18944e+07,1.18944e+07,1.18944e+07,1.21967e+07,1.21967e+07,1.21967e+07,0.0984768,0.0984768,0.0984768,7.43265,7.43265,7.43265,1.88378e+06,1.88378e+06,1.88378e+06,63651.5,63651.5,63651.5,150420,150420,150420,4.4683e+06,4.4683e+06,4.4683e+06,8.93636e+07,8.93636e+07,8.93636e+07,0.00012974,0.00012974,0.00012974,0.0226959,0.0226959,0.0226959
8,6.76177e+06,6.76177e+06,6.76177e+06,0.140608,0.140608,0.140608,9.03261,9.03261,9.03261,1.18944e+07,1.18944e+07,1.18944e+07,1.22456e+07,1.22456e+07,1.22456e+07,0.104513,0.104513,0.104513,6.53083,6.53083,6.53083,1.83285e+06,1.83285e+06,1.83285e+06,61929,61929,61929,146349,146349,146349,4.34747e+06,4.34747e+06,4.34747e+06,8.9479e+07,8.9479e+07,8.9479e+07,0.00013757,0.00013757,0.00013757,0.019924,0.019924,0.019924
9,6.78375e+06,6.78375e+06,6.78375e+06,0.149272,0.149272,0.149272,8.00658,8.00658,8.00658,1.18943e+07,1.18943e+07,1.18943e+07,1.22931e+07,1.22931e+07,1.22931e+07,0.111027,0.111027,0.111027,5.77016,5.77016,5.77016,1.78328e+06,1.78328e+06,1.78328e+06,60253.2,60253.2,60253.2,142389,142389,142389,4.22988e+06,4.22988e+06,4.22988e+06,8.9591e+07,8.9591e+07,8.9591e+07,0.000146011,0.000146011,0.000146011,0.0175871,0.0175871,0.0175871
