time,low95:SS:Japan__all,SS:Japan__all,high95:SS:Japan__all,low95:IS:Japan__all,IS:Japan__all,high95:IS:Japan__all,low95:SI:Japan__all,SI:Japan__all,high95:SI:Japan__all,low95:RS:Japan__all,RS:Japan__all,high95:RS:Japan__all,low95:SR:Japan__all,SR:Japan__all,high95:SR:Japan__all,low95:IR:Japan__all,IR:Japan__all,high95:IR:Japan__all,low95:RI:Japan__all,RI:Japan__all,high95:RI:Japan__all,low95:SQ:Japan__all,SQ:Japan__all,high95:SQ:Japan__all,low95:QS:Japan__all,QS:Japan__all,high95:QS:Japan__all,low95:QR:Japan__all,QR:Japan__all,high95:QR:Japan__all,low95:RQ:Japan__all,RQ:Japan__all,high95:RQ:Japan__all,low95:RR:Japan__all,RR:Japan__all,high95:RR:Japan__all,low95:EV71_JAP__IASR__inc,EV71_JAP__IASR__inc,high95:EV71_JAP__IASR__inc,low95:CA16_JAP__IASR__inc,CA16_JAP__IASR__inc,high95:CA16_JAP__IASR__inc
0,3.24034e+07,3.24034e+07,3.24034e+07,3030.48,3030.48,3030.48,1946.42,1946.42,1946.42,3.78106e+07,3.78106e+07,3.78106e+07,2.23428e+07,2.23428e+07,2.23428e+07,464.393,464.393,464.393,504.78,504.78,504.78,36613,36613,36613,73040.3,73040.3,73040.3,13238.2,13238.2,13238.2,10809.6,10809.6,10809.6,3.4012e+07,3.4012e+07,3.4012e+07,0,0,0,0,0,0
1,3.24071e+07,3.24071e+07,3.24071e+07,3085.42,3085.42,3085.42,1981.22,1981.22,1981.22,3.78124e+07,3.78124e+07,3.78124e+07,2.23438e+07,2.23438e+07,2.23438e+07,472.809,472.809,472.809,513.784,513.784,513.784,36656.2,36656.2,36656.2,73158.7,73158.7,73158.7,13212,13212,13212,10792.1,10792.1,10792.1,3.40053e+07,3.40053e+07,3.40053e+07,4.66815,4.66815,4.66815,2.39625,2.39625,2.39625
2,3.24105e+07,3.24105e+07,3.24105e+07,3139.85,3139.85,3139.85,2014.89,2014.89,2014.89,3.7814e+07,3.7814e+07,3.7814e+07,2.23448e+07,2.23448e+07,2.23448e+07,481.121,481.121,481.121,522.483,522.483,522.483,36836.1,36836.1,36836.1,73551.2,73551.2,73551.2,13245.3,13245.3,13245.3,10821.1,10821.1,10821.1,3.40073e+07,3.40073e+07,3.40073e+07,4.75168,4.75168,4.75168,2.43803,2.43803,2.43803
3,3.24136e+07,3.24136e+07,3.24136e+07,3193.46,3193.46,3193.46,2047.26,2047.26,2047.26,3.78156e+07,3.78156e+07,3.78156e+07,2.23457e+07,2.23457e+07,2.23457e+07,489.307,489.307,489.307,530.848,530.848,530.848,37115.8,37115.8,37115.8,74150.3,74150.3,74150.3,13323.9,13323.9,13323.9,10884.5,10884.5,10884.5,3.40092e+07,3.40092e+07,3.40092e+07,4.8341,4.8341,4.8341,2.47829,2.47829,2.47829
4,3.24165e+07,3.24165e+07,3.24165e+07,3246.35,3246.35,3246.35,2078.45,2078.45,2078.45,3.78171e+07,3.78171e+07,3.78171e+07,2.23467e+07,2.23467e+07,2.23467e+07,497.387,497.387,497.387,538.906,538.906,538.906,37466.8,37466.8,37466.8,74904.3,74904.3,74904.3,13436.6,13436.6,13436.6,10972.8,10972.8,10972.8,3.40111e+07,3.40111e+07,3.40111e+07,4.91534,4.91534,4.91534,2.51703,2.51703,2.51703
5,3.24192e+07,3.24192e+07,3.24192e+07,3298.57,3298.57,3298.57,2108.51,2108.51,2108.51,3.78186e+07,3.78186e+07,3.78186e+07,2.23477e+07,2.23477e+07,2.23477e+07,505.367,505.367,505.367,546.677,546.677,546.677,37868,37868,37868,75773.6,75773.6,75773.6,13574.8,13574.8,13574.8,11078.8,11078.8,11078.8,3.40131e+07,3.40131e+07,3.40131e+07,4.99553,4.99553,4.99553,2.55436,2.55436,2.55436
6,3.24216e+07,3.24216e+07,3.24216e+07,3350.21,3350.21,3350.21,2137.53,2137.53,2137.53,3.78202e+07,3.78202e+07,3.78202e+07,2.23486e+07,2.23486e+07,2.23486e+07,513.261,513.261,513.261,554.182,554.182,554.182,38303,38303,38303,76728.4,76728.4,76728.4,13732.1,13732.1,13732.1,11197.2,11197.2,11197.2,3.4015e+07,3.4015e+07,3.4015e+07,5.07477,5.07477,5.07477,2.59037,2.59037,2.59037
7,3.24238e+07,3.24238e+07,3.24238e+07,3401.34,3401.34,3401.34,2165.6,2165.6,2165.6,3.78219e+07,3.78219e+07,3.78219e+07,2.23497e+07,2.23497e+07,2.23497e+07,521.082,521.082,521.082,561.444,561.444,561.444,38759.9,38759.9,38759.9,77746.1,77746.1,77746.1,13903.6,13903.6,13903.6,11323.8,11323.8,11323.8,3.4017e+07,3.4017e+07,3.4017e+07,5.15317,5.15317,5.15317,2.62518,2.62518,2.62518
8,3.24257e+07,3.24257e+07,3.24257e+07,3452.05,3452.05,3452.05,2192.8,2192.8,2192.8,3.78236e+07,3.78236e+07,3.78236e+07,2.23507e+07,2.23507e+07,2.23507e+07,528.842,528.842,528.842,568.486,568.486,568.486,39229.8,39229.8,39229.8,78809.7,78809.7,78809.7,14085.5,14085.5,14085.5,11455.7,11455.7,11455.7,3.4019e+07,3.4019e+07,3.4019e+07,5.23088,5.23088,5.23088,2.65887,2.65887,2.65887
9,3.24274e+07,3.24274e+07,3.24274e+07,3502.43,3502.43,3502.43,2219.22,2219.22,2219.22,3.78254e+07,3.78254e+07,3.78254e+07,2.23519e+07,2.23519e+07,2.23519e+07,536.557,536.557,536.557,575.33,575.33,575.33,39706.3,39706.3,39706.3,79906.8,79906.8,79906.8,14275.3,14275.3,14275.3,11590.7,11590.7,11590.7,3.4021e+07,3.4021e+07,3.4021e+07,5.30801,5.30801,5.30801,2.69156,2.69156,2.69156
